strain,DATE,SPECIES.SUBTYPE,antibiotic,vector,accession,NOTES.RE..CONTRUCTION..ORIGIN..PHENOTYPE,STRAIN.ACQUIRED.FROM.PARENT.STRAIN,DEPOSITOR,OTHER.NOTES,GLYCEROL.STOCK.LOCATION,BURDEN.ASSAY,MINIPREP.DNA.CONCENTRATION..ng.uL.,SEQUENCED...0..IF.NOT,SEQUENCE.CONFIRMED.,GFP.inteference,fluorescent.protein,TYPE,SUBPARTS,SHORT.DESCRIPTION.,measured
JEB1204,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K3174002,,,,,,,,,,FALSE,,,,,TRUE
JEB1205,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K3174003,,,,,,,,,,FALSE,,,,,TRUE
JEB1206,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K3174004,,,,,,,,,,FALSE,,,,,TRUE
JEB1207,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K3174006,,,,,,,,,,FALSE,,,,,TRUE
JEB1208,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K3174007,,,,,,,,,,FALSE,,,,,TRUE
BB1,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_J45199,"Plate 4, I5",spring 2018 iGEM distribution,Shireen Shah,Colony #1,Teal Box,exp014,NA,0,No,FALSE,,Generator,4," ""Banana odor enzyme (ATF1) generator""",TRUE
BB2,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_J45199,"Plate 4, I5",spring 2018 iGEM distribution,Shireen Shah,Colony #2,Teal Box,exp015/exp031,NA,0,No,FALSE,,Generator,4," ""Banana odor enzyme (ATF1) generator""",TRUE
BB3,3.06.2019,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K325218,"Plate 1, 4J",spring 2018 iGEM distribution,Diya Bhat,Colony #1,Teal Box,exp015,NA,1,No,FALSE,,Generator,2," ""Orange Firefly Luciferase (under pBAD)<BR><i>L. Cruciata<BR>(E. coli optimised)</i>""",TRUE
BB4,3.06.2019,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K325218,"Plate 1, 4J",spring 2018 iGEM distribution,Diya Bhat,Colony #2,Teal Box,,NA,0,No,FALSE,,Generator,2," ""Orange Firefly Luciferase (under pBAD)<BR><i>L. Cruciata<BR>(E. coli optimised)</i>""",FALSE
BB5,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K731721,"Plate 1, 24K",spring 2018 iGEM distribution,Angela Pak,Colony #1,Teal Box,exp015/exp031,NA,1,No,FALSE,,Terminator,1," ""T7 terminator""",TRUE
BB6,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K731721,"Plate 1, 24K",spring 2018 iGEM distribution,Angela Pak,Colony #2,Teal Box,exp015/exp031,NA,1,No,FALSE,,Terminator,1," ""T7 terminator""",TRUE
BB7,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,BBa_K861173,"Plate 1, 13H",spring 2018 iGEM distribution,Emily Garcia,Colony #1,Teal Box,exp014,NA,1,No,FALSE,,Reporter,5," ""mRFP generator controlled by  PcstA (glucose-repressible promoter)""",TRUE
