well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB105,,
A3,1,BB106,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB107,,
A7,1,BB108,,
A8,1,BB373,,
A9,1,blank,,
A10,1,BB109,,
A11,1,BB110,,
A12,1,blank,,
B1,1,BB111,,
B2,1,BB112,,
B3,1,BB113,,
B4,1,BB114,,
B5,1,BB127,,
B6,1,BB128,,
B7,1,BB129,,
B8,1,BB130,,
B9,1,BB131,,
B10,1,BB373,,
B11,1,BB0,,
B12,1,blank,,
C1,1,BB105,,
C2,1,BB106,,
C3,1,BB107,,
C4,1,BB108,,
C5,1,BB109,,
C6,1,BB110,,
C7,1,BB111,,
C8,1,BB112,,
C9,1,BB113,,
C10,1,BB114,,
C11,1,BB127,,
C12,1,BB128,,
D1,1,BB129,,
D2,1,BB130,,
D3,1,BB131,,
D4,1,BB373,,
D5,1,BB0,,
D6,1,blank,,
D7,1,BB105,,
D8,1,BB106,,
D9,1,BB107,,
D10,1,BB108,,
D11,1,BB109,,
D12,1,BB110,,
E1,1,blank,,
E2,1,BB111,,
E3,1,BB112,,
E4,1,BB113,,
E5,1,BB114,,
E6,1,BB0,,
E7,1,BB127,,
E8,1,BB128,,
E9,1,BB129,,
E10,1,BB130,,
E11,1,BB131,,
E12,1,BB373,,
F1,1,BB0,,
F2,1,BB131,,
F3,1,BB105,,
F4,1,BB106,,
F5,1,BB107,,
F6,1,BB108,,
F7,1,BB109,,
F8,1,BB110,,
F9,1,BB111,,
F10,1,BB112,,
F11,1,BB113,,
F12,1,BB114,,
G1,1,BB127,,
G2,1,BB128,,
G3,1,BB129,,
G4,1,BB130,,
G5,1,BB131,,
G6,1,BB373,,
G7,1,BB0,,
G8,1,blank,,
G9,1,BB105,,
G10,1,BB106,,
G11,1,BB107,,
G12,1,BB108,,
H1,1,blank,,
H2,1,BB109,,
H3,1,BB110,,
H4,1,BB111,,
H5,1,BB112,,
H6,1,BB113,,
H7,1,BB114,,
H8,1,BB127,,
H9,1,BB128,,
H10,1,BB129,,
H11,1,BB130,,
H12,1,blank,,
