0s,0.0922,0.1173,0.1163,0.0935,0.0939,0.1161,0.1185,0.0926,0.0968,0.1166,0.1167,0.0978,0.1021,0.1067,0.1011,0.1192,0.1023,0.1062,0.1027,0.1195,0.1036,0.105,0.1039,0.121,0.1197,0.1169,0.1162,0.1062,0.1199,0.1168,0.1151,0.1059,0.1193,0.1164,0.1133,0.1049,0.1164,0.1043,0.1026,0.1169,0.1172,0.103,0.101,0.1154,0.1164,0.1043,0.1061,0.1133,0.1046,0.1068,0.1154,0.1162,0.104,0.1026,0.1154,0.1155,0.1043,0.1045,0.1169,0.1141,0.1139,0.1142,0.1163,0.1065,0.1163,0.1226,0.1175,0.1037,0.1155,0.116,0.1179,0.1033,0.108,0.1131,0.1201,0.1169,0.1131,0.1305,0.1156,0.1178,0.1109,0.1194,0.1227,0.1163,0.0955,0.1105,0.1049,0.0942,0.0954,0.1145,0.1067,0.1009,0.099,0.1183,0.1069,0.098
601s,0.092,0.12,0.1185,0.0934,0.0939,0.1181,0.1199,0.0925,0.0967,0.1186,0.1192,0.0973,0.103,0.1077,0.1015,0.122,0.1023,0.1073,0.1032,0.122,0.1041,0.1055,0.1046,0.1226,0.122,0.1194,0.1181,0.1071,0.1227,0.1191,0.1175,0.1066,0.1219,0.1185,0.115,0.1056,0.1187,0.105,0.1035,0.1186,0.1192,0.1029,0.1019,0.1179,0.1186,0.1049,0.1072,0.1163,0.1054,0.1073,0.117,0.1183,0.1048,0.103,0.1169,0.118,0.1049,0.1049,0.1184,0.1162,0.1148,0.1162,0.1184,0.1075,0.1179,0.1264,0.12,0.1048,0.1168,0.1182,0.1202,0.104,0.1092,0.1146,0.1209,0.1184,0.1147,0.1329,0.117,0.1205,0.1122,0.1208,0.1231,0.1181,0.0948,0.1116,0.1059,0.0937,0.095,0.1165,0.1071,0.0993,0.0992,0.1188,0.1077,0.0983
1201s,0.0919,0.1242,0.1221,0.0933,0.0938,0.1213,0.1239,0.0923,0.0964,0.1223,0.1227,0.0973,0.1041,0.109,0.1021,0.1269,0.103,0.1076,0.104,0.1269,0.1052,0.1065,0.1041,0.1261,0.1258,0.1238,0.1216,0.1082,0.1271,0.1229,0.1212,0.1072,0.1262,0.1222,0.1185,0.1066,0.1227,0.1059,0.1045,0.123,0.1233,0.1035,0.1034,0.1222,0.1221,0.1058,0.1083,0.1183,0.1065,0.1079,0.1197,0.1219,0.1059,0.1035,0.1196,0.1217,0.1057,0.1055,0.121,0.1199,0.1168,0.1194,0.122,0.1091,0.1204,0.1292,0.1237,0.1059,0.1191,0.1218,0.124,0.1047,0.1112,0.117,0.1232,0.1209,0.1171,0.1375,0.1193,0.1234,0.1145,0.1231,0.1252,0.1212,0.0949,0.1135,0.1064,0.0937,0.0949,0.1179,0.108,0.0992,0.0984,0.12,0.1087,0.0979
1801s,0.0919,0.1306,0.1277,0.0933,0.0938,0.1269,0.131,0.0923,0.0961,0.1276,0.128,0.0971,0.1047,0.1109,0.1028,0.1347,0.1039,0.1092,0.1052,0.1335,0.1061,0.1076,0.1045,0.1332,0.1321,0.131,0.127,0.1093,0.1344,0.129,0.1271,0.108,0.133,0.1283,0.124,0.1081,0.1288,0.1075,0.1063,0.1299,0.1299,0.1043,0.1055,0.1291,0.128,0.107,0.1098,0.1258,0.1079,0.1088,0.1243,0.1276,0.1071,0.1041,0.1238,0.1275,0.1066,0.1063,0.125,0.126,0.12,0.1246,0.1277,0.1108,0.1243,0.1355,0.1296,0.1071,0.1228,0.1271,0.1301,0.1055,0.1139,0.1205,0.1263,0.1248,0.121,0.1438,0.1226,0.1278,0.1175,0.1275,0.129,0.126,0.0948,0.1157,0.1076,0.0935,0.0949,0.1206,0.1092,0.0994,0.0984,0.1222,0.1091,0.0961
2401s,0.0917,0.1379,0.1359,0.0932,0.0937,0.1354,0.1407,0.0922,0.0963,0.1352,0.1357,0.097,0.1056,0.1133,0.104,0.145,0.1049,0.1102,0.1058,0.1422,0.108,0.1094,0.1048,0.1423,0.1404,0.141,0.1343,0.1108,0.1446,0.1378,0.1349,0.1099,0.1425,0.1373,0.1322,0.1098,0.1374,0.109,0.1084,0.1392,0.1392,0.1053,0.1081,0.1387,0.1364,0.1085,0.1122,0.134,0.1091,0.1098,0.1308,0.1355,0.1085,0.1048,0.1298,0.1363,0.1078,0.1074,0.131,0.1353,0.1242,0.1313,0.136,0.113,0.1297,0.1419,0.1381,0.1088,0.1292,0.1348,0.139,0.1061,0.1171,0.1252,0.1298,0.1296,0.1253,0.152,0.1266,0.134,0.1212,0.1335,0.1337,0.1327,0.0949,0.1189,0.1087,0.0935,0.0949,0.1236,0.1103,0.0992,0.0988,0.126,0.1108,0.0983
3001s,0.0917,0.1462,0.1466,0.0932,0.0937,0.146,0.1531,0.0922,0.0967,0.1452,0.146,0.0968,0.1059,0.1162,0.1054,0.1585,0.1063,0.1123,0.1071,0.1548,0.1106,0.1116,0.1057,0.1546,0.1515,0.1539,0.1435,0.1129,0.1585,0.1496,0.1455,0.1123,0.1555,0.1495,0.1432,0.1121,0.1478,0.1107,0.1115,0.1511,0.1516,0.1068,0.1118,0.1508,0.1475,0.1105,0.1155,0.1446,0.1105,0.1109,0.1395,0.146,0.1101,0.106,0.1384,0.1478,0.1092,0.1087,0.1391,0.1478,0.13,0.1395,0.1469,0.1162,0.1369,0.1528,0.1494,0.1112,0.1362,0.1446,0.1504,0.1075,0.121,0.1308,0.1339,0.1352,0.1313,0.1627,0.131,0.1418,0.1261,0.1404,0.1396,0.1411,0.0947,0.1218,0.1099,0.0935,0.0949,0.1273,0.1114,0.0986,0.0981,0.13,0.1119,0.098
3601s,0.0916,0.1559,0.1608,0.0932,0.0936,0.1599,0.1684,0.0921,0.0959,0.1578,0.1591,0.0968,0.1065,0.1198,0.1074,0.176,0.1082,0.1152,0.1089,0.1698,0.1139,0.1146,0.106,0.1706,0.1662,0.17,0.1549,0.1158,0.175,0.1646,0.1585,0.1152,0.1718,0.1649,0.1576,0.115,0.1614,0.1133,0.1154,0.1659,0.1669,0.1087,0.117,0.166,0.1613,0.113,0.1204,0.1579,0.1126,0.1127,0.1512,0.1599,0.1125,0.1074,0.1496,0.1616,0.1112,0.1104,0.1493,0.1632,0.1367,0.15,0.1607,0.1207,0.1459,0.1644,0.1636,0.1144,0.145,0.1567,0.1645,0.1105,0.1263,0.1379,0.1393,0.1421,0.1388,0.1762,0.1366,0.1511,0.1326,0.149,0.1465,0.1507,0.0946,0.1254,0.1109,0.0931,0.0948,0.1317,0.1134,0.0994,0.0983,0.1356,0.1139,0.0972
4200s,0.0916,0.1695,0.1787,0.0932,0.0936,0.1767,0.1864,0.0921,0.0966,0.1736,0.1756,0.0967,0.1078,0.1244,0.11,0.198,0.1107,0.1194,0.1114,0.1884,0.1182,0.1186,0.1073,0.1906,0.1851,0.19,0.1694,0.1196,0.1959,0.1837,0.1747,0.1185,0.1918,0.1841,0.1756,0.1172,0.1793,0.1165,0.1205,0.1855,0.186,0.1119,0.1233,0.1846,0.1789,0.1168,0.1265,0.1755,0.1147,0.1147,0.1655,0.1776,0.1156,0.1094,0.164,0.18,0.1141,0.1126,0.162,0.1821,0.1455,0.1641,0.1785,0.1269,0.1573,0.181,0.1817,0.1191,0.1555,0.1723,0.1827,0.1141,0.1327,0.1471,0.1456,0.1497,0.1488,0.1928,0.1422,0.1614,0.1409,0.1596,0.1543,0.1617,0.0946,0.13,0.1128,0.093,0.0948,0.1373,0.1156,0.0988,0.0981,0.1415,0.1159,0.0974
4800s,0.0915,0.1877,0.2004,0.0931,0.0936,0.1984,0.2089,0.0921,0.0961,0.1932,0.1969,0.0966,0.1101,0.1299,0.113,0.2236,0.1139,0.1246,0.1145,0.2118,0.1234,0.1238,0.1093,0.2153,0.2085,0.2142,0.189,0.1232,0.2204,0.207,0.1949,0.1224,0.2161,0.2073,0.1983,0.1205,0.2008,0.1209,0.1271,0.2085,0.209,0.1157,0.1313,0.2078,0.2009,0.1215,0.1341,0.1969,0.1177,0.1172,0.1828,0.1998,0.1199,0.1122,0.1819,0.202,0.1182,0.1156,0.178,0.2048,0.156,0.1822,0.1998,0.1352,0.1703,0.2009,0.2039,0.1248,0.1683,0.1923,0.2052,0.119,0.1404,0.1582,0.1532,0.1586,0.1599,0.2131,0.1494,0.1735,0.1513,0.1728,0.163,0.1739,0.0946,0.1347,0.1153,0.0928,0.0949,0.1442,0.1193,0.0992,0.0985,0.1482,0.1192,0.0977
5401s,0.0916,0.2098,0.2256,0.0932,0.0936,0.224,0.2359,0.0922,0.0971,0.2175,0.2231,0.0964,0.113,0.1367,0.1168,0.2542,0.1179,0.13,0.1181,0.2391,0.13,0.1303,0.112,0.2438,0.2367,0.2417,0.2128,0.1282,0.2503,0.2347,0.2189,0.127,0.2451,0.2349,0.2249,0.1245,0.2265,0.1256,0.1352,0.2363,0.2351,0.1206,0.1404,0.2344,0.226,0.1271,0.1431,0.2229,0.1216,0.1206,0.2042,0.2264,0.1253,0.1157,0.2038,0.2284,0.1234,0.1194,0.199,0.231,0.1694,0.2051,0.2253,0.1452,0.1871,0.2258,0.2302,0.132,0.1837,0.2154,0.2317,0.1255,0.1502,0.1724,0.1623,0.1695,0.1738,0.2377,0.1578,0.188,0.1637,0.1895,0.1728,0.1883,0.0945,0.1399,0.1187,0.0928,0.095,0.1513,0.1238,0.0992,0.0979,0.1558,0.1233,0.0972
