well,strain,isolate,description
A1,B,,
A2,JEB1203,1,
A3,JEB1204,1,
A4,JEB1205,1,
A5,B,,
A6,JEB1203,1,
A7,JEB1204,1,
A8,JEB1205,1,
A9,B,,
A10,JEB1203,1,
A11,JEB1204,1,
A12,JEB1205,1,
B1,JEB1203,1,
B2,JEB1204,1,
B3,JEB1205,1,
B4,JEB1206,1,
B5,JEB1203,1,
B6,JEB1204,1,
B7,JEB1205,1,
B8,JEB1206,1,
B9,JEB1203,1,
B10,JEB1204,1,
B11,JEB1205,1,
B12,JEB1206,1,
C1,JEB1206,1,
C2,JEB1207,1,
C3,JEB1208,1,
C4,JEB1303,2,
C5,JEB1206,1,
C6,JEB1207,1,
C7,JEB1208,1,
C8,JEB1303,2,
C9,JEB1206,1,
C10,JEB1207,1,
C11,JEB1208,1,
C12,JEB1303,2,
D1,JEB1207,1,
D2,JEB1208,1,
D3,JEB1303,2,
D4,JEB1304,2,
D5,JEB1207,1,
D6,JEB1208,1,
D7,JEB1303,2,
D8,JEB1304,2,
D9,JEB1207,1,
D10,JEB1208,1,
D11,JEB1303,2,
D12,JEB1304,2,
E1,JEB1304,2,
E2,JEB1305,2,
E3,JEB1306,2,
E4,JEB1307,2,
E5,JEB1304,2,
E6,JEB1305,2,
E7,JEB1306,2,
E8,JEB1307,2,
E9,JEB1304,2,
E10,JEB1305,2,
E11,JEB1306,2,
E12,JEB1307,2,
F1,JEB1305,2,
F2,JEB1306,2,
F3,JEB1307,2,
F4,JEB1308,2,
F5,JEB1305,2,
F6,JEB1306,2,
F7,JEB1307,2,
F8,JEB1308,2,
F9,JEB1305,2,
F10,JEB1306,2,
F11,JEB1307,2,
F12,JEB1308,2,
G1,JEB1308,2,
G2,B,,
G3,B,,
G4,B,,
G5,JEB1308,2,
G6,B,,
G7,B,,
G8,B,,
G9,JEB1308,2,
G10,B,,
G11,B,,
G12,B,,
H1,B,,
H2,B,,
H3,B,,
H4,B,,
H5,B,,
H6,B,,
H7,B,,
H8,B,,
H9,B,,
H10,B,,
H11,B,,
H12,B,,
