well,include,strain,isolate,Day,,,
A1,1,EV106,A,0,,,
A2,1,EV106,A,0,,,
A3,1,EV106,A,0,,,
A4,1,EV106,A,0,,,
A5,1,EV106,A,0,,,
A6,1,EV106,A,0,,,
A7,1,EV106,B,0,,,
A8,1,EV106,B,0,,,
A9,1,EV106,B,0,,,
A10,1,EV106,B,0,,,
A11,1,EV106,B,0,,,
A12,1,EV106,B,0,,,
B1,1,EV106,C,0,,,
B2,1,EV106,C,0,,,
B3,1,EV106,C,0,,,
B4,1,EV106,C,0,,,
B5,1,EV106,C,0,,,
B6,1,EV106,C,0,,,
B7,1,EV112,A,0,,,
B8,1,EV112,A,0,,,
B9,1,EV112,A,0,,,
B10,1,EV112,A,0,,,
B11,1,EV112,A,0,,,
B12,1,EV112,A,0,,,
C1,1,EV112,B,0,,,
C2,1,EV112,B,0,,,
C3,1,EV112,B,0,,,
C4,1,EV112,B,0,,,
C5,1,EV112,B,0,,,
C6,1,EV112,B,0,,,
C7,1,EV112,C,0,,,
C8,1,EV112,C,0,,,
C9,1,EV112,C,0,,,
C10,1,EV112,C,0,,,
C11,1,EV112,C,0,,,
C12,1,EV112,C,0,,,
D1,1,EV373,A,0,,,
D2,1,EV373,A,0,,,
D3,1,EV373,A,0,,,
D4,1,EV373,A,0,,,
D5,1,EV373,A,0,,,
D6,1,EV373,A,0,,,
D7,1,EV373,B,0,,,
D8,1,EV373,B,0,,,
D9,1,EV373,B,0,,,
D10,1,EV373,B,0,,,
D11,1,EV373,B,0,,,
D12,1,EV373,B,0,,,
E1,1,EV373,C,0,,,
E2,1,EV373,C,0,,,
E3,1,EV373,C,0,,,
E4,1,EV373,C,0,,,
E5,1,EV373,C,0,,,
E6,1,EV373,C,0,,,
E7,1,EV109,A,0,,,
E8,1,EV109,A,0,,,
E9,1,EV109,A,0,,,
E10,1,EV109,A,0,,,
E11,1,EV109,A,0,,,
E12,1,EV109,A,0,,,
F1,1,EV109,B,0,,,
F2,1,EV109,B,0,,,
F3,1,EV109,B,0,,,
F4,1,EV109,B,0,,,
F5,1,EV109,B,0,,,
F6,1,EV109,B,0,,,
F7,1,EV109,C,0,,,
F8,1,EV109,C,0,,,
F9,1,EV109,C,0,,,
F10,1,EV109,C,0,,,
F11,1,EV109,C,0,,,
F12,1,EV109,C,0,,,
G1,1,EV127,A,0,,,
G2,1,EV127,A,0,,,
G3,1,EV127,A,0,,,
G4,1,EV127,A,0,,,
G5,1,EV127,A,0,,,
G6,1,EV127,A,0,,,
G7,1,EV127,B,0,,,
G8,1,EV127,B,0,,,
G9,1,EV127,B,0,,,
G10,1,EV127,B,0,,,
G11,1,EV127,B,0,,,
G12,1,EV127,B,0,,,
H1,1,blank,,0,,,
H2,1,blank,,0,,,
H3,1,EV127,C,0,,,
H4,1,EV127,C,0,,,
H5,1,EV127,C,0,,,
H6,1,EV127,C,0,,,
H7,1,EV127,C,0,,,
H8,1,EV127,C,0,,,
H9,1,blank,,0,,,
H10,1,blank,,0,,,
H11,1,blank,,0,,,
H12,1,blank,,0,,,
