well,include,strain,isolate,Day
A1,1,EV106,A,6
A2,1,EV106,A,6
A3,1,EV106,A,6
A4,1,EV106,A,6
A5,1,EV106,A,6
A6,1,EV106,A,6
A7,1,EV106,B,6
A8,1,EV106,B,6
A9,1,EV106,B,6
A10,1,EV106,B,6
A11,1,EV106,B,6
A12,1,EV106,B,6
B1,1,EV106,C,6
B2,1,EV106,C,6
B3,1,EV106,C,6
B4,1,EV106,C,6
B5,1,EV106,C,6
B6,1,EV106,C,6
B7,1,EV112,A,6
B8,1,EV112,A,6
B9,1,EV112,A,6
B10,1,EV112,A,6
B11,1,EV112,A,6
B12,1,EV112,A,6
C1,1,EV112,B,6
C2,1,EV112,B,6
C3,1,EV112,B,6
C4,1,EV112,B,6
C5,1,EV112,B,6
C6,1,EV112,B,6
C7,1,EV112,C,6
C8,1,EV112,C,6
C9,1,EV112,C,6
C10,1,EV112,C,6
C11,1,EV112,C,6
C12,1,EV112,C,6
D1,1,EV373,A,6
D2,1,EV373,A,6
D3,1,EV373,A,6
D4,1,EV373,A,6
D5,1,EV373,A,6
D6,1,EV373,A,6
D7,1,EV373,B,6
D8,1,EV373,B,6
D9,1,EV373,B,6
D10,1,EV373,B,6
D11,1,EV373,B,6
D12,1,EV373,B,6
E1,1,EV373,C,6
E2,1,EV373,C,6
E3,1,EV373,C,6
E4,1,EV373,C,6
E5,1,EV373,C,6
E6,1,EV373,C,6
E7,1,EV109,C,6
E8,1,EV109,C,6
E9,1,EV109,C,6
E10,1,EV109,C,6
E11,1,EV109,C,6
E12,1,EV109,C,6
F1,1,EV109,A,6
F2,1,EV109,A,6
F3,1,EV109,A,6
F4,1,EV109,A,6
F5,1,EV109,A,6
F6,1,EV109,A,6
F7,1,EV109,B,6
F8,1,EV109,B,6
F9,1,EV109,B,6
F10,1,EV109,B,6
F11,1,EV109,B,6
F12,1,EV109,B,6
G1,1,EV127,A,6
G2,1,EV127,A,6
G3,1,EV127,A,6
G4,1,EV127,A,6
G5,1,EV127,A,6
G6,1,EV127,A,6
G7,1,EV127,B,6
G8,1,EV127,B,6
G9,1,EV127,B,6
G10,1,EV127,B,6
G11,1,EV127,B,6
G12,1,EV127,B,6
H1,1,blank,,6
H2,1,blank,,6
H3,1,EV127,C,6
H4,1,EV127,C,6
H5,1,EV127,C,6
H6,1,EV127,C,6
H7,1,EV127,C,6
H8,1,EV127,C,6
H9,1,blank,,6
H10,1,blank,,6
H11,1,blank,,6
H12,1,blank,,6
