well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB016,,
A3,1,BB106,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB016,,
A7,1,BB106,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB016,,
A11,1,BB106,,
A12,1,blank,,
B1,1,BB109,,
B2,1,BB112,,
B3,1,BB127,,
B4,1,BB129,,
B5,1,BB109,,
B6,1,BB112,,
B7,1,BB127,,
B8,1,BB129,,
B9,1,BB109,,
B10,1,BB112,,
B11,1,BB127,,
B12,1,BB129,,
C1,1,BB132,,
C2,1,BB137,,
C3,1,BB142,,
C4,1,BB144,,
C5,1,BB132,,
C6,1,BB137,,
C7,1,BB142,,
C8,1,BB144,,
C9,1,BB132,,
C10,1,BB137,,
C11,1,BB142,,
C12,1,BB144,,
D1,1,BB164,,
D2,1,BB187,,
D3,1,BB218,,
D4,1,BB220,,
D5,1,BB164,,
D6,1,BB187,,
D7,1,BB218,,
D8,1,BB220,,
D9,1,BB164,,
D10,1,BB187,,
D11,1,BB218,,
D12,1,BB220,,
E1,1,BB273,,
E2,1,BB281,,
E3,1,BB286,,
E4,1,BB311,,
E5,1,BB273,,
E6,1,BB281,,
E7,1,BB286,,
E8,1,BB311,,
E9,1,BB273,,
E10,1,BB281,,
E11,1,BB286,,
E12,1,BB311,,
F1,1,BB373,,
F2,1,BB379,,
F3,1,BB387,,
F4,1,BB395,,
F5,1,BB373,,
F6,1,BB379,,
F7,1,BB387,,
F8,1,BB395,,
F9,1,BB373,,
F10,1,BB379,,
F11,1,BB387,,
F12,1,BB395,,
G1,1,JEB1204,,
G2,1,JEB1205,,
G3,1,JEB1206,,
G4,1,JEB1207,,
G5,1,JEB1204,,
G6,1,JEB1205,,
G7,1,JEB1206,,
G8,1,JEB1207,,
G9,1,JEB1204,,
G10,1,JEB1205,,
G11,1,JEB1206,,
G12,1,JEB1207,,
H1,1,blank,,
H2,1,JEB1208,,
H3,1,BB554,,
H4,1,blank,,
H5,1,blank,,
H6,1,JEB1208,,
H7,1,BB554,,
H8,1,blank,,
H9,1,blank,,
H10,1,JEB1208,,
H11,1,BB554,,
H12,1,blank,,
