0s,0.0981,0.1088,0.1154,0.0976,0.0965,0.1191,0.1141,0.0943,0.0955,0.1152,0.1155,0.1004,0.1127,0.1122,0.1133,0.1186,0.117,0.1188,0.1144,0.1132,0.1194,0.1142,0.1118,0.1221,0.1072,0.1145,0.1064,0.1181,0.1143,0.114,0.1068,0.1136,0.1132,0.1158,0.1072,0.1152,0.1124,0.1177,0.1363,0.116,0.1155,0.1159,0.1299,0.1145,0.1145,0.118,0.1354,0.1186,0.1138,0.1137,0.1176,0.1152,0.1144,0.114,0.1156,0.1178,0.1161,0.114,0.1251,0.1163,0.1136,0.1136,0.115,0.1157,0.1196,0.1173,0.1155,0.1148,0.1162,0.112,0.1194,0.1176,0.1206,0.1219,0.1215,0.1161,0.1252,0.1186,0.1187,0.122,0.1219,0.1197,0.1205,0.1199,0.0959,0.1165,0.12,0.0959,0.0983,0.1187,0.1207,0.0984,0.0973,0.1185,0.1202,0.0987
601s,0.0979,0.1089,0.115,0.0976,0.0964,0.119,0.1144,0.0944,0.0955,0.1159,0.1156,0.1004,0.1129,0.1137,0.1135,0.1195,0.1179,0.1198,0.1144,0.1135,0.1198,0.115,0.1116,0.1224,0.1076,0.1155,0.1065,0.1187,0.1144,0.1154,0.1069,0.1141,0.114,0.1162,0.1073,0.1154,0.1133,0.1185,0.1365,0.1167,0.1155,0.1165,0.1309,0.1145,0.1153,0.1183,0.1362,0.1189,0.1146,0.1146,0.1187,0.1159,0.1151,0.1151,0.1163,0.1183,0.1164,0.1147,0.1261,0.1162,0.1142,0.1139,0.1139,0.1155,0.1189,0.118,0.1162,0.1154,0.1167,0.1123,0.1201,0.1174,0.1213,0.1222,0.1216,0.117,0.1219,0.1192,0.1188,0.1231,0.1226,0.1201,0.1208,0.1198,0.096,0.1165,0.1199,0.0957,0.0983,0.1189,0.1213,0.0983,0.0974,0.119,0.1203,0.0985
1201s,0.0978,0.1095,0.1156,0.0975,0.0964,0.1195,0.1152,0.0943,0.0955,0.1167,0.1159,0.1003,0.1139,0.116,0.1142,0.1214,0.1189,0.123,0.1148,0.1142,0.1208,0.1167,0.1116,0.1233,0.1081,0.1169,0.1066,0.12,0.1149,0.1168,0.1072,0.1152,0.1148,0.1173,0.1073,0.1162,0.1153,0.1202,0.14,0.1184,0.117,0.1175,0.1335,0.1161,0.1164,0.1193,0.1388,0.1197,0.1164,0.1163,0.1209,0.117,0.1168,0.1168,0.1183,0.1194,0.1181,0.1161,0.1287,0.1169,0.1157,0.1157,0.1156,0.1176,0.1206,0.1197,0.1178,0.1169,0.118,0.1134,0.1219,0.119,0.1228,0.1231,0.1225,0.1187,0.1234,0.1203,0.1198,0.1251,0.1241,0.121,0.1215,0.1213,0.0959,0.1171,0.1208,0.0955,0.0983,0.12,0.1225,0.0982,0.0973,0.1199,0.1214,0.0983
1801s,0.0977,0.1109,0.117,0.0975,0.0963,0.1208,0.1167,0.0943,0.0954,0.1183,0.1169,0.1002,0.1151,0.1197,0.1151,0.1235,0.1207,0.1258,0.1155,0.1158,0.1226,0.1196,0.1118,0.1249,0.1089,0.1191,0.107,0.1224,0.1159,0.1191,0.1075,0.1173,0.1162,0.1192,0.1077,0.1182,0.1182,0.1228,0.145,0.12,0.1193,0.1193,0.1379,0.1184,0.1182,0.1213,0.1438,0.1223,0.1195,0.119,0.1244,0.1188,0.1195,0.1197,0.1214,0.1214,0.1205,0.1184,0.1331,0.1185,0.1181,0.1181,0.1182,0.1202,0.1229,0.1224,0.1201,0.1196,0.1198,0.1152,0.1251,0.1218,0.1242,0.1248,0.124,0.1216,0.1255,0.1215,0.1209,0.1288,0.1267,0.1224,0.1231,0.1238,0.0959,0.1182,0.1221,0.0955,0.0982,0.1214,0.1233,0.0979,0.0975,0.1215,0.1229,0.0981
2401s,0.0977,0.1129,0.1193,0.0975,0.0964,0.1235,0.1191,0.0943,0.0954,0.1203,0.1189,0.1002,0.1173,0.125,0.1165,0.1263,0.1239,0.1304,0.1163,0.1186,0.1256,0.1239,0.1122,0.128,0.11,0.122,0.1073,0.126,0.1178,0.1229,0.1078,0.1207,0.1181,0.1223,0.1078,0.1212,0.122,0.127,0.1542,0.124,0.1235,0.1222,0.1451,0.1226,0.1216,0.1244,0.1519,0.1257,0.1242,0.1234,0.1306,0.1221,0.1237,0.1244,0.1265,0.1249,0.1246,0.1231,0.1399,0.1213,0.1212,0.1217,0.1225,0.1239,0.1264,0.1268,0.1241,0.1237,0.1226,0.1181,0.1302,0.1262,0.1266,0.1272,0.1262,0.1262,0.1286,0.124,0.1227,0.1349,0.1303,0.1248,0.1255,0.1283,0.0959,0.1201,0.1238,0.0955,0.0983,0.1242,0.1253,0.0977,0.0973,0.1239,0.1251,0.098
3001s,0.0976,0.116,0.1232,0.0974,0.0963,0.1274,0.1227,0.0943,0.0953,0.1238,0.1221,0.1,0.1205,0.132,0.1181,0.1319,0.1291,0.1385,0.1177,0.1227,0.1306,0.1302,0.113,0.1323,0.1118,0.1265,0.1078,0.1319,0.1205,0.1286,0.1082,0.1257,0.1206,0.1266,0.1082,0.1259,0.128,0.1333,0.1681,0.13,0.1295,0.1267,0.1553,0.1283,0.1269,0.1294,0.1641,0.1312,0.1306,0.1297,0.1392,0.1267,0.1299,0.131,0.1338,0.1299,0.1303,0.1292,0.1502,0.1253,0.1257,0.1272,0.1289,0.1298,0.1314,0.1333,0.1298,0.1299,0.1269,0.1223,0.1377,0.1326,0.1305,0.1305,0.1284,0.1331,0.1328,0.127,0.1253,0.1435,0.1351,0.1282,0.1285,0.1351,0.0958,0.1228,0.1259,0.0955,0.0983,0.1277,0.1283,0.0976,0.0973,0.1273,0.1278,0.0979
3601s,0.0976,0.1199,0.1288,0.0975,0.0963,0.1342,0.128,0.0943,0.0953,0.1291,0.1271,0.0999,0.1253,0.1411,0.1199,0.1399,0.1362,0.1485,0.1196,0.1288,0.1375,0.139,0.1143,0.1391,0.1143,0.1332,0.1085,0.1401,0.1247,0.1337,0.1089,0.1329,0.1247,0.1329,0.1088,0.1329,0.1352,0.1425,0.1871,0.1383,0.1382,0.1333,0.1694,0.1368,0.1341,0.1363,0.181,0.1392,0.1396,0.1385,0.151,0.1331,0.1389,0.1405,0.144,0.1371,0.1389,0.1381,0.1647,0.1308,0.131,0.1353,0.1381,0.1395,0.1383,0.1423,0.1378,0.1387,0.1325,0.1283,0.1484,0.141,0.1349,0.1352,0.1312,0.1429,0.1374,0.1296,0.1281,0.1559,0.1415,0.1322,0.1326,0.1442,0.0958,0.1265,0.1281,0.0954,0.0982,0.1322,0.131,0.0975,0.0975,0.1319,0.131,0.0978
4201s,0.0976,0.1251,0.1366,0.0975,0.0963,0.1438,0.135,0.0942,0.0953,0.1359,0.134,0.1,0.1319,0.1527,0.1231,0.1507,0.1466,0.1621,0.1225,0.1372,0.1472,0.1502,0.116,0.1481,0.1177,0.1424,0.109,0.1505,0.1305,0.1379,0.1094,0.1419,0.1302,0.1415,0.1093,0.1421,0.1452,0.154,0.2112,0.1496,0.1496,0.1419,0.1874,0.1483,0.1438,0.1458,0.2036,0.15,0.1504,0.1501,0.1669,0.1416,0.1509,0.153,0.1581,0.147,0.1508,0.1499,0.1838,0.1383,0.138,0.1451,0.1494,0.1498,0.1474,0.1538,0.148,0.1501,0.1397,0.1359,0.1625,0.1522,0.1415,0.141,0.1349,0.1551,0.1433,0.1342,0.1316,0.172,0.1496,0.1378,0.1373,0.1561,0.0957,0.1312,0.1311,0.0954,0.0983,0.1379,0.1354,0.0974,0.0971,0.1378,0.135,0.0979
4801s,0.0976,0.1313,0.1463,0.0975,0.0964,0.151,0.1444,0.0942,0.0952,0.1454,0.1432,0.0998,0.1406,0.1672,0.127,0.1647,0.1601,0.1792,0.1261,0.1483,0.16,0.164,0.1187,0.1598,0.1227,0.1547,0.1098,0.1649,0.1389,0.1497,0.1104,0.1543,0.1375,0.1529,0.1101,0.1542,0.1587,0.1684,0.2403,0.1637,0.165,0.1533,0.2102,0.1631,0.1561,0.1583,0.2305,0.1639,0.1649,0.1656,0.1874,0.1529,0.1665,0.1692,0.1765,0.1594,0.1657,0.1656,0.2078,0.1472,0.1472,0.1581,0.1652,0.1652,0.1595,0.1683,0.1624,0.1655,0.149,0.1459,0.181,0.1671,0.1499,0.1487,0.1398,0.1713,0.1526,0.1408,0.1361,0.1932,0.1604,0.145,0.1432,0.1712,0.0958,0.1365,0.1343,0.0955,0.0984,0.1453,0.1398,0.0974,0.0975,0.1445,0.1402,0.098
5401s,0.0976,0.1386,0.1588,0.0975,0.0963,0.1659,0.1565,0.0942,0.0952,0.1576,0.1551,0.0997,0.1517,0.1863,0.132,0.1832,0.1769,0.2004,0.1309,0.1625,0.1762,0.1814,0.1223,0.1743,0.1291,0.1705,0.1106,0.1818,0.1494,0.1639,0.1113,0.1696,0.147,0.1674,0.1109,0.1694,0.1765,0.1883,0.2755,0.1818,0.1841,0.1676,0.2379,0.1818,0.1717,0.1735,0.2613,0.1819,0.1821,0.1853,0.2126,0.1668,0.1858,0.189,0.1997,0.1743,0.1844,0.1857,0.237,0.1588,0.159,0.1734,0.1842,0.1833,0.1741,0.1864,0.1804,0.1849,0.1608,0.1586,0.2036,0.1852,0.1609,0.1588,0.1456,0.1917,0.1642,0.1499,0.1411,0.2193,0.1738,0.1539,0.1496,0.1901,0.0956,0.1432,0.1382,0.0953,0.0981,0.1531,0.1442,0.0972,0.0973,0.1535,0.1465,0.0976
