well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB160,,
A3,1,BB161,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB160,,
A7,1,BB161,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB160,,
A11,1,BB161,,
A12,1,blank,,
B1,1,BB162,,
B2,1,BB163,,
B3,1,BB169,,
B4,1,BB171,,
B5,1,BB162,,
B6,1,BB163,,
B7,1,BB169,,
B8,1,BB171,,
B9,1,BB162,,
B10,1,BB163,,
B11,1,BB169,,
B12,1,BB171,,
C1,1,BB172,,
C2,1,BB173,,
C3,1,BB175,,
C4,1,BB176,,
C5,1,BB172,,
C6,1,BB173,,
C7,1,BB175,,
C8,1,BB176,,
C9,1,BB172,,
C10,1,BB175,,
C11,1,BB173,,
C12,1,BB176,,
D1,1,BB178,,
D2,1,BB179,,
D3,1,BB180,,
D4,1,BB181,,
D5,1,BB178,,
D6,1,BB179,,
D7,1,BB180,,
D8,1,BB181,,
D9,1,BB178,,
D10,1,BB179,,
D11,1,BB180,,
D12,1,BB181,,
E1,1,BB182,,
E2,1,BB183,,
E3,1,BB184,,
E4,1,BB185,,
E5,1,BB182,,
E6,1,BB183,,
E7,1,BB184,,
E8,1,BB185,,
E9,1,BB182,,
E10,1,BB183,,
E11,1,BB184,,
E12,1,BB185,,
F1,1,BB186,,
F2,1,BB187,,
F3,1,BB188,,
F4,1,BB189,,
F5,1,BB186,,
F6,1,BB187,,
F7,1,BB188,,
F8,1,BB189,,
F9,1,BB186,,
F10,1,BB187,,
F11,1,BB188,,
F12,1,BB189,,
G1,1,JEB1204,,
G2,1,JEB1205,,
G3,1,JEB1206,,
G4,1,BB190,,
G5,1,JEB1204,,
G6,1,JEB1205,,
G7,1,JEB1206,,
G8,1,BB190,,
G9,1,JEB1204,,
G10,1,JEB1205,,
G11,1,JEB1206,,
G12,1,BB190,,
H1,1,blank,,
H2,1,JEB1207,,
H3,1,JEB1208,,
H4,1,blank,,
H5,1,blank,,
H6,1,JEB1207,,
H7,1,JEB1208,,
H8,1,blank,,
H9,1,blank,,
H10,1,JEB1207,,
H11,1,JEB1208,,
H12,1,blank,,
