strain,date.transformed,host.cell,antibiotics,vector,accession,source.plate.tube,source.kit,creator,other.notes,glycerol.stock.location,burden.assays,miniprep.DNA.concentration.ng.uL.,GFP.inteference,fluorescent.protein,part.type,number.of.subparts,short.part.description,measured,sequenced,sequencing.result
JEB1204,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K3174002,,,,,,,NA,FALSE,,,NA,,TRUE,,biobrick.confirmed
JEB1205,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K3174003,,,,,,,NA,FALSE,,,NA,,TRUE,,biobrick.confirmed
JEB1206,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K3174004,,,,,,,NA,FALSE,,,NA,,TRUE,,biobrick.confirmed
JEB1207,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K3174006,,,,,,,NA,FALSE,,,NA,,TRUE,,biobrick.confirmed
JEB1208,,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K3174007,,,,,,,NA,FALSE,,,NA,,TRUE,,biobrick.confirmed
BB1,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,J45199,"Plate 4, I5",spring 2018 iGEM distribution,Shireen Shah,Colony #1,Teal Box,exp014,NA,FALSE,,Generator,4," ""Banana odor enzyme (ATF1) generator""",TRUE,0,not.sequenced
BB2,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,J45199,"Plate 4, I5",spring 2018 iGEM distribution,Shireen Shah,Colony #2,Teal Box,exp015/exp031,NA,FALSE,,Generator,4," ""Banana odor enzyme (ATF1) generator""",TRUE,0,not.sequenced
BB3,3.06.2019,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K325218,"Plate 1, 4J",spring 2018 iGEM distribution,Diya Bhat,Colony #1,Teal Box,exp015,NA,FALSE,,Generator,2," ""Orange Firefly Luciferase (under pBAD)<BR><i>L. Cruciata<BR>(E. coli optimised)</i>""",TRUE,1,biobrick.minor.discrepancy
BB4,3.06.2019,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K325218,"Plate 1, 4J",spring 2018 iGEM distribution,Diya Bhat,Colony #2,Teal Box,,NA,FALSE,,Generator,2," ""Orange Firefly Luciferase (under pBAD)<BR><i>L. Cruciata<BR>(E. coli optimised)</i>""",FALSE,0,NA
BB5,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K731721,"Plate 1, 24K",spring 2018 iGEM distribution,Angela Pak,Colony #1,Teal Box,exp015/exp031,NA,FALSE,,Terminator,1," ""T7 terminator""",TRUE,1,not.sequenced
BB6,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K731721,"Plate 1, 24K",spring 2018 iGEM distribution,Angela Pak,Colony #2,Teal Box,exp015/exp031,NA,FALSE,,Terminator,1," ""T7 terminator""",TRUE,1,not.sequenced
BB7,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K861173,"Plate 1, 13H",spring 2018 iGEM distribution,Emily Garcia,Colony #1,Teal Box,exp014,NA,FALSE,,Reporter,5," ""mRFP generator controlled by  PcstA (glucose-repressible promoter)""",TRUE,1,not.sequenced
BB8,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K861173,"Plate 1, 13H",spring 2018 iGEM distribution,Emily Garcia,Colony #2,Teal Box,exp015/exp031,NA,FALSE,,Reporter,5," ""mRFP generator controlled by  PcstA (glucose-repressible promoter)""",TRUE,1,not.sequenced
BB9,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K598020,"Plate 2, 1G",spring 2018 iGEM distribution,Ginny Mortensen,Colony #1,Teal Box,,NA,FALSE,,Reporter,5," ""B0015+pBAD+vioAB+B0015+pBAD+TPP Up-regulated Hammerhead Ribozyme 1.20+vioD+B0015+pBAD+vioE""",FALSE,0,NA
BB10,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K598020,"Plate 2, 1G",spring 2018 iGEM distribution,Ginny Mortensen,Colony #2,Teal Box,,NA,FALSE,,Device,1," ""B0015+pBAD+vioAB+B0015+pBAD+TPP Up-regulated Hammerhead Ribozyme 1.20+vioD+B0015+pBAD+vioE""",FALSE,0,NA
BB11,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K118004,"Plate 4 , well 1O",spring 2018 iGEM distribution,Jordan Clements,Colony 1,Teal Box,,NA,FALSE,,Device,1," ""rbs+dxs (1-deoxyxylulose-5-phosphate synthase)""",FALSE,0,NA
BB12,03.07.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,,"This plasmid was taken from the ""pSB1C3 empty vector"" tube. It is bright pink/red and likely has red chromoprotein.",spring 2018 iGEM distribution,Matt McGuffie,--,Teal Box,,NA,FALSE,,Translational_Unit,2,,FALSE,0,NA
BB14,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K1806004,"Plate 7, 2A",spring 2018 iGEM distribution,Matt McGuffie,Colony 1,Teal Box,exp014,NA,FALSE,,Composite,1,,TRUE,0,not.sequenced
BB15,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K1806004,"Plate 7, 2A",spring 2018 iGEM distribution,Matt McGuffie,Colony 2,Teal Box,exp015/exp031,NA,FALSE,,Composite,1,,TRUE,0,not.sequenced
BB16,03.08.19,E. coli DH10B + burden monitor,"cam, kan",pSB1C3,K617003,"Plate 1, M8",spring 2018 iGEM distribution,Matt McGuffie,Colony 1,Teal Box,exp015/exp054/exp051/exp050/exp031,NA,FALSE,,DNA,1, Confirmed(A),TRUE,0,not.sequenced
