well,include,strain,isolate
A1,1,JEB1203,
A2,1,JEB1203,
A3,1,JEB1203,
A4,1,K819010,
A5,1,K819010,
A6,1,K819010,
A7,1,J23070,
A8,1,J23070,
A9,1,J23070,
A10,1,I3452,
A11,1,I3452,
A12,1,I3452,
B1,1,JEB1204,
B2,1,JEB1204,
B3,1,JEB1204,
B4,1,K819017,
B5,1,K819017,
B6,1,K819017,
B7,1,J23115,
B8,1,J23115,
B9,1,J23115,
B10,1,J23107,
B11,1,J23107,
B12,1,J23107,
C1,1,JEB1205,
C2,1,JEB1205,
C3,1,JEB1205,
C4,1,K617003,
C5,1,K617003,
C6,1,K617003,
C7,1,J61000,
C8,1,J61000,
C9,1,J61000,
C10,1,blank,
C11,1,blank,
C12,1,blank,
D1,1,JEB1206,
D2,1,JEB1206,
D3,1,JEB1206,
D4,1,K541501,
D5,1,K541501,
D6,1,K541501,
D7,1,I13001,
D8,1,I13001,
D9,1,I13001,
D10,1,blank,
D11,1,blank,
D12,1,blank,
E1,1,JEB1207,
E2,1,JEB1207,
E3,1,JEB1207,
E4,1,K733013,
E5,1,K733013,
E6,1,K733013,
E7,1,J23104,
E8,1,J23104,
E9,1,J23104,
E10,1,blank,
E11,1,blank,
E12,1,blank,
F1,1,JEB1208,
F2,1,JEB1208,
F3,1,JEB1208,
F4,1,K731721,
F5,1,K731721,
F6,1,K731721,
F7,1,I13602,
F8,1,I13602,
F9,1,I13602,
F10,1,blank,
F11,1,blank,
F12,1,blank,
G1,1,K634001,
G2,1,K634001,
G3,1,K634001,
G4,1,J52022,
G5,1,J52022,
G6,1,J52022,
G7,1,J23113,
G8,1,J23113,
G9,1,J23113,
G10,1,blank,
G11,1,blank,
G12,1,blank,
H1,1,S05050,
H2,1,S05050,
H3,1,S05050,
H4,1,J23117,
H5,1,J23117,
H6,1,J23117,
H7,1,J23101,
H8,1,J23101,
H9,1,J23101,
H10,1,blank,
H11,1,blank,
H12,1,blank,
