well,include,strain,isolate,description
A1,1,blank,,
A2,1,JEB1204,1,
A3,1,JEB1205,1,
A4,1,JEB1206,1,
A5,1,JEB1207,1,
A6,1,JEB1208,1,
A7,1,blank,,
A8,1,JEB1209,2,
A9,1,JEB1210,2,
A10,1,JEB1211,2,
A11,1,JEB1212,2,
A12,1,JEB1213,2,
B1,1,blank,,
B2,1,JEB1204,1,
B3,1,JEB1205,1,
B4,1,JEB1206,1,
B5,1,JEB1207,1,
B6,1,JEB1208,1,
B7,1,blank,,
B8,1,JEB1209,2,
B9,1,JEB1210,2,
B10,1,JEB1211,2,
B11,1,JEB1212,2,
B12,1,JEB1213,2,
C1,1,blank,,
C2,1,JEB1204,1,
C3,1,JEB1205,1,
C4,1,JEB1206,1,
C5,1,JEB1207,1,
C6,1,JEB1208,1,
C7,1,blank,,
C8,1,JEB1209,2,
C9,1,JEB1210,2,
C10,1,JEB1211,2,
C11,1,JEB1212,2,
C12,1,JEB1213,2,
D1,1,blank,,
D2,1,JEB1204,1,
D3,1,JEB1205,1,
D4,1,JEB1206,1,
D5,1,JEB1207,1,
D6,1,JEB1208,1,
D7,1,blank,,
D8,1,JEB1209,2,
D9,1,JEB1210,2,
D10,1,JEB1211,2,
D11,1,JEB1212,2,
D12,1,JEB1213,2,
E1,1,blank,,
E2,1,JEB1209,2,
E3,1,JEB1210,2,
E4,1,JEB1211,2,
E5,1,JEB1212,2,
E6,1,JEB1213,2,
E7,1,blank,,
E8,1,JEB1204,1,
E9,1,JEB1205,1,
E10,1,JEB1206,1,
E11,1,JEB1207,1,
E12,1,JEB1208,1,
F1,1,blank,,
F2,1,JEB1209,2,
F3,1,JEB1210,2,
F4,1,JEB1211,2,
F5,1,JEB1212,2,
F6,1,JEB1213,2,
F7,1,blank,,
F8,1,JEB1204,1,
F9,1,JEB1205,1,
F10,1,JEB1206,1,
F11,1,JEB1207,1,
F12,1,JEB1208,1,
G1,1,blank,,
G2,1,JEB1209,2,
G3,1,JEB1210,2,
G4,1,JEB1211,2,
G5,1,JEB1212,2,
G6,1,JEB1213,2,
G7,1,blank,,
G8,1,JEB1204,1,
G9,1,JEB1205,1,
G10,1,JEB1206,1,
G11,1,JEB1207,1,
G12,1,JEB1208,1,
H1,1,blank,,
H2,1,JEB1209,2,
H3,1,JEB1210,2,
H4,1,JEB1211,2,
H5,1,JEB1212,2,
H6,1,JEB1213,2,
H7,1,blank,,
H8,1,JEB1204,1,
H9,1,JEB1205,1,
H10,1,JEB1206,1,
H11,1,JEB1207,1,
H12,1,JEB1208,1,
