0s,0.0869,0.1181,0.1107,0.0869,0.0861,0.1122,0.1088,0.1085,0.0857,0.1099,0.1157,0.0874,0.1088,0.1075,0.1109,0.1026,0.1066,0.1077,0.1089,0.1092,0.1103,0.1109,0.1071,0.0868,0.1133,0.1111,0.1171,0.1109,0.108,0.1079,0.1128,0.1086,0.1158,0.1167,0.1123,0.1164,0.1107,0.1128,0.1162,0.1088,0.1105,0.0851,0.1157,0.1091,0.1231,0.1201,0.1097,0.1112,0.088,0.1132,0.1082,0.1155,0.104,0.1081,0.1101,0.1135,0.1133,0.1116,0.1137,0.1069,0.1119,0.1147,0.117,0.1097,0.1199,0.1104,0.1078,0.1099,0.1152,0.1051,0.1166,0.1032,0.111,0.1093,0.1101,0.112,0.1109,0.1109,0.1128,0.091,0.1388,0.1144,0.1232,0.1142,0.0862,0.1087,0.11,0.1117,0.1057,0.1116,0.1007,0.1099,0.1135,0.1087,0.1142,0.0878
600s,0.0869,0.1193,0.1108,0.0869,0.0859,0.1126,0.1091,0.1087,0.0856,0.1104,0.1161,0.0872,0.1093,0.1069,0.1121,0.1028,0.1063,0.1079,0.1087,0.1095,0.1102,0.1109,0.1073,0.0867,0.1129,0.1106,0.1173,0.1107,0.108,0.1082,0.113,0.1082,0.1164,0.1125,0.1121,0.1172,0.1102,0.113,0.1165,0.1085,0.1102,0.0848,0.1163,0.1088,0.1229,0.12,0.1102,0.1113,0.0881,0.1136,0.1084,0.1154,0.1041,0.1084,0.11,0.1137,0.1143,0.1113,0.114,0.1071,0.1118,0.115,0.1169,0.1106,0.12,0.1108,0.1077,0.1099,0.1149,0.105,0.1164,0.1032,0.1117,0.1092,0.1108,0.1115,0.1113,0.1091,0.1129,0.0905,0.1322,0.1137,0.1234,0.1158,0.0863,0.109,0.1101,0.1118,0.1056,0.1114,0.1006,0.11,0.1132,0.1082,0.1141,0.0872
1200s,0.0867,0.1196,0.1114,0.0868,0.0854,0.1116,0.1097,0.1102,0.0856,0.1103,0.113,0.0871,0.1099,0.1068,0.1134,0.1042,0.1077,0.1093,0.1133,0.1103,0.111,0.1122,0.1082,0.0866,0.1132,0.1105,0.1177,0.1114,0.1087,0.1098,0.1143,0.1082,0.1171,0.1115,0.1141,0.1173,0.1113,0.1145,0.1172,0.1095,0.1099,0.0845,0.1162,0.109,0.1228,0.1184,0.1104,0.1124,0.0878,0.1146,0.1087,0.1156,0.1052,0.1092,0.1116,0.1152,0.1131,0.1122,0.1147,0.1088,0.1133,0.1162,0.117,0.1091,0.1203,0.1112,0.1079,0.1113,0.1157,0.1055,0.1164,0.1061,0.1135,0.111,0.1134,0.1125,0.1122,0.1107,0.1138,0.0903,0.1382,0.1133,0.1238,0.117,0.0862,0.1099,0.1115,0.1127,0.1059,0.1117,0.1014,0.1119,0.1146,0.1093,0.1156,0.0872
1800s,0.0866,0.1202,0.1134,0.0866,0.0851,0.1116,0.1115,0.1132,0.0854,0.1113,0.1153,0.087,0.1119,0.108,0.1156,0.1068,0.11,0.1123,0.1122,0.1125,0.1126,0.1151,0.1102,0.0866,0.1141,0.1107,0.1192,0.1126,0.1098,0.1124,0.1169,0.1093,0.1189,0.1133,0.117,0.1199,0.1137,0.1179,0.1192,0.1118,0.111,0.0841,0.1173,0.1093,0.1234,0.1207,0.1123,0.1148,0.0876,0.1162,0.11,0.1169,0.1079,0.1111,0.115,0.1184,0.1165,0.1128,0.1168,0.112,0.1152,0.1187,0.1178,0.1094,0.1211,0.1128,0.1092,0.1139,0.1168,0.1074,0.1176,0.1084,0.1161,0.1141,0.1163,0.1149,0.1142,0.1133,0.1153,0.0912,0.1342,0.1138,0.1222,0.119,0.086,0.1096,0.1143,0.1148,0.1074,0.1131,0.1035,0.1153,0.1174,0.1118,0.1193,0.0869
2400s,0.0865,0.1212,0.1164,0.0864,0.0848,0.1122,0.1147,0.1181,0.0852,0.113,0.1198,0.0868,0.1151,0.1103,0.119,0.1109,0.1137,0.1171,0.1197,0.1166,0.1151,0.1191,0.113,0.0864,0.1152,0.1112,0.1212,0.1152,0.1125,0.1164,0.1214,0.1115,0.1224,0.1169,0.1223,0.1251,0.1151,0.1234,0.1224,0.1156,0.1135,0.0839,0.1189,0.1103,0.1246,0.1238,0.1148,0.1187,0.0874,0.1194,0.1128,0.1195,0.112,0.114,0.1204,0.1233,0.1202,0.1172,0.1201,0.1168,0.1189,0.123,0.1194,0.1099,0.1225,0.1159,0.1114,0.1185,0.1194,0.11,0.12,0.1116,0.1205,0.1193,0.1211,0.1191,0.1174,0.118,0.1188,0.091,0.1392,0.1141,0.1232,0.1217,0.086,0.1128,0.1188,0.119,0.1102,0.1156,0.1063,0.1207,0.1223,0.1156,0.1251,0.087
3000s,0.0865,0.1224,0.1192,0.0864,0.0843,0.113,0.1194,0.1254,0.085,0.1158,0.126,0.0868,0.1195,0.1135,0.1234,0.117,0.1195,0.1243,0.123,0.123,0.119,0.1258,0.1178,0.0863,0.1172,0.1124,0.1234,0.1194,0.1155,0.1224,0.1277,0.1148,0.1267,0.1216,0.1291,0.1322,0.1213,0.1316,0.1271,0.1213,0.1179,0.0837,0.1213,0.1117,0.1272,0.1285,0.1182,0.1245,0.0872,0.1243,0.1163,0.123,0.1176,0.1189,0.1274,0.1307,0.1263,0.1239,0.1247,0.1237,0.1241,0.1284,0.1209,0.111,0.1249,0.1204,0.1141,0.1249,0.1237,0.114,0.1236,0.1164,0.1268,0.1266,0.1239,0.1254,0.122,0.1241,0.1238,0.0907,0.1402,0.1148,0.1253,0.1269,0.0858,0.1152,0.1252,0.1246,0.114,0.1194,0.1107,0.1288,0.1291,0.121,0.1329,0.087
3600s,0.0864,0.1247,0.1213,0.0862,0.0841,0.1145,0.1266,0.1362,0.0849,0.1193,0.135,0.0867,0.1253,0.1177,0.1294,0.1257,0.1275,0.1347,0.1308,0.1319,0.1247,0.1351,0.1248,0.0863,0.1197,0.1142,0.1261,0.1254,0.1197,0.131,0.1361,0.1194,0.1331,0.1291,0.1389,0.1423,0.1298,0.1434,0.134,0.1294,0.1244,0.0837,0.1246,0.1137,0.1306,0.1375,0.1231,0.1328,0.087,0.1323,0.1211,0.1279,0.1258,0.1267,0.138,0.1415,0.1353,0.1339,0.1302,0.134,0.1318,0.1361,0.1231,0.113,0.1277,0.128,0.1184,0.1342,0.1302,0.1196,0.1282,0.1229,0.1356,0.1375,0.1307,0.1339,0.1287,0.1331,0.1316,0.0909,0.1426,0.1159,0.1269,0.1345,0.0857,0.1185,0.1342,0.1318,0.1195,0.1235,0.1165,0.1406,0.1389,0.1292,0.1451,0.087
4200s,0.0864,0.1277,0.1239,0.0863,0.0843,0.1163,0.137,0.1505,0.0849,0.1239,0.1472,0.0867,0.1331,0.1236,0.1372,0.1361,0.1377,0.149,0.1413,0.1441,0.1323,0.1465,0.1346,0.0863,0.1231,0.1159,0.13,0.1332,0.1252,0.1421,0.1481,0.125,0.1419,0.1341,0.1515,0.1554,0.1404,0.1582,0.1426,0.1399,0.1365,0.0835,0.1291,0.1159,0.135,0.1485,0.1281,0.1438,0.087,0.1405,0.1264,0.1338,0.1344,0.137,0.1524,0.1542,0.1486,0.1466,0.1375,0.1465,0.1429,0.1431,0.1257,0.1145,0.1306,0.1383,0.1237,0.1465,0.1382,0.1272,0.1335,0.1302,0.1465,0.1518,0.1403,0.145,0.135,0.1459,0.1415,0.0908,0.1443,0.1177,0.1305,0.146,0.0855,0.1232,0.1459,0.1416,0.1265,0.1292,0.1234,0.1564,0.1515,0.1398,0.1584,0.0869
4800s,0.0863,0.1321,0.1285,0.0862,0.0843,0.1195,0.1534,0.1691,0.0848,0.1298,0.1622,0.0867,0.1431,0.1311,0.1477,0.1488,0.1506,0.1659,0.1566,0.1593,0.1421,0.1605,0.1531,0.0862,0.1276,0.1186,0.1345,0.1445,0.1322,0.1557,0.163,0.1318,0.1531,0.1437,0.1673,0.1719,0.1542,0.1758,0.1534,0.1519,0.1493,0.0834,0.1348,0.1191,0.1401,0.1646,0.1354,0.1568,0.0869,0.1518,0.1338,0.1427,0.1459,0.1517,0.17,0.1709,0.1639,0.1632,0.147,0.1631,0.1566,0.1542,0.1295,0.1176,0.1347,0.152,0.1303,0.1617,0.1492,0.1364,0.1405,0.1394,0.1601,0.1694,0.1533,0.1589,0.146,0.1611,0.1581,0.0906,0.1513,0.12,0.1356,0.1606,0.0854,0.1282,0.1603,0.154,0.135,0.1361,0.1317,0.1733,0.1673,0.1528,0.163,0.0868
5400s,0.0863,0.1335,0.1342,0.0863,0.0841,0.1229,0.1725,0.1899,0.0849,0.1366,0.1806,0.0867,0.1565,0.1403,0.1606,0.1649,0.1665,0.1859,0.17,0.178,0.1543,0.1778,0.1721,0.0862,0.1335,0.1216,0.14,0.159,0.1408,0.1726,0.1813,0.14,0.1673,0.1559,0.1882,0.1914,0.174,0.1972,0.1691,0.1675,0.1643,0.0835,0.1418,0.1233,0.1469,0.1834,0.1445,0.1733,0.087,0.1656,0.1423,0.1528,0.1598,0.1696,0.1916,0.1913,0.1824,0.1834,0.1592,0.183,0.1743,0.1676,0.134,0.1212,0.1399,0.1694,0.1386,0.1806,0.1634,0.1473,0.1498,0.1508,0.177,0.1903,0.1682,0.1753,0.1592,0.1813,0.1783,0.0906,0.1539,0.1231,0.1406,0.178,0.0857,0.1358,0.177,0.1696,0.1459,0.1452,0.142,0.194,0.1868,0.1695,0.1822,0.0869
