well,include,strain,isolate,Day
A1,1,EV106,A,5
A2,1,EV106,A,5
A3,1,EV106,A,5
A4,1,EV106,A,5
A5,1,EV106,A,5
A6,1,EV106,A,5
A7,1,EV106,B,5
A8,1,EV106,B,5
A9,1,EV106,B,5
A10,1,EV106,B,5
A11,1,EV106,B,5
A12,1,EV106,B,5
B1,1,EV106,C,5
B2,1,EV106,C,5
B3,1,EV106,C,5
B4,1,EV106,C,5
B5,1,EV106,C,5
B6,1,EV106,C,5
B7,1,EV112,A,5
B8,1,EV112,A,5
B9,1,EV112,A,5
B10,1,EV112,A,5
B11,1,EV112,A,5
B12,1,EV112,A,5
C1,1,EV112,B,5
C2,1,EV112,B,5
C3,1,EV112,B,5
C4,1,EV112,B,5
C5,1,EV112,B,5
C6,1,EV112,B,5
C7,1,EV112,C,5
C8,1,EV112,C,5
C9,1,EV112,C,5
C10,1,EV112,C,5
C11,1,EV112,C,5
C12,1,EV112,C,5
D1,1,EV373,A,5
D2,1,EV373,A,5
D3,1,EV373,A,5
D4,1,EV373,A,5
D5,1,EV373,A,5
D6,1,EV373,A,5
D7,1,EV373,B,5
D8,1,EV373,B,5
D9,1,EV373,B,5
D10,1,EV373,B,5
D11,1,EV373,B,5
D12,1,EV373,B,5
E1,1,EV373,C,5
E2,1,EV373,C,5
E3,1,EV373,C,5
E4,1,EV373,C,5
E5,1,EV373,C,5
E6,1,EV373,C,5
E7,1,EV109,C,5
E8,1,EV109,C,5
E9,1,EV109,C,5
E10,1,EV109,C,5
E11,1,EV109,C,5
E12,1,EV109,C,5
F1,1,EV109,A,5
F2,1,EV109,A,5
F3,1,EV109,A,5
F4,1,EV109,A,5
F5,1,EV109,A,5
F6,1,EV109,A,5
F7,1,EV109,B,5
F8,1,EV109,B,5
F9,1,EV109,B,5
F10,1,EV109,B,5
F11,1,EV109,B,5
F12,1,EV109,B,5
G1,1,EV127,A,5
G2,1,EV127,A,5
G3,1,EV127,A,5
G4,1,EV127,A,5
G5,1,EV127,A,5
G6,1,EV127,A,5
G7,1,EV127,B,5
G8,1,EV127,B,5
G9,1,EV127,B,5
G10,1,EV127,B,5
G11,1,EV127,B,5
G12,1,EV127,B,5
H1,1,blank,,5
H2,1,blank,,5
H3,1,EV127,C,5
H4,1,EV127,C,5
H5,1,EV127,C,5
H6,1,EV127,C,5
H7,1,EV127,C,5
H8,1,EV127,C,5
H9,1,blank,,5
H10,1,blank,,5
H11,1,blank,,5
H12,1,blank,,5
