0s,0.0936,0.1282,0.1273,0.0929,0.0924,0.1309,0.1299,0.0955,0.0939,0.1327,0.1304,0.0948,0.1304,0.1165,0.1185,0.1218,0.1311,0.1207,0.1214,0.1206,0.1328,0.1207,0.1188,0.123,0.1209,0.1132,0.1252,0.1181,0.1269,0.1167,0.1289,0.1145,0.1264,0.1183,0.1283,0.1122,0.1166,0.119,0.1213,0.1198,0.1209,0.1227,0.1216,0.1236,0.1228,0.1229,0.1187,0.1223,0.1243,0.1261,0.0946,0.093,0.1246,0.1285,0.0951,0.0949,0.1238,0.13,0.0941,0.0928,0.0975,0.1257,0.129,0.0932,0.0929,0.1283,0.1339,0.0956,0.0933,0.1279,0.1314,0.095,0.1296,0.1236,0.1248,0.0934,0.1353,0.1241,0.1257,0.0951,0.1329,0.148,0.1284,0.0937,0.0969,0.1235,0.1285,0.096,0.094,0.1293,0.1292,0.0945,0.0975,0.1272,0.1295,0.0958
600s,0.0936,0.129,0.1285,0.0929,0.0925,0.1322,0.1311,0.0956,0.0939,0.1336,0.1319,0.0945,0.1315,0.119,0.1201,0.1245,0.1326,0.1229,0.1232,0.1227,0.1343,0.1232,0.1203,0.1259,0.1228,0.1147,0.1274,0.1204,0.1296,0.1183,0.1315,0.1165,0.1291,0.12,0.1304,0.1144,0.1187,0.1214,0.1239,0.1225,0.1236,0.1251,0.1235,0.1268,0.1249,0.1251,0.1212,0.1252,0.1263,0.1297,0.0943,0.0928,0.1272,0.1321,0.0946,0.0939,0.1265,0.1339,0.0942,0.0927,0.0976,0.1286,0.1308,0.0935,0.0933,0.1304,0.1343,0.0958,0.0932,0.1312,0.1331,0.0949,0.1313,0.1256,0.1262,0.0935,0.1377,0.1264,0.126,0.0949,0.1347,0.1484,0.13,0.0937,0.097,0.1253,0.1287,0.0952,0.0938,0.1308,0.1303,0.0959,0.0974,0.1299,0.1311,0.0979
1200s,0.0936,0.1311,0.1306,0.0929,0.0924,0.1348,0.1332,0.0957,0.0938,0.1357,0.1346,0.0944,0.1335,0.1228,0.1229,0.1289,0.1354,0.1264,0.1262,0.1265,0.1372,0.1282,0.1231,0.1314,0.126,0.1173,0.1305,0.1237,0.1336,0.1209,0.1357,0.1202,0.1333,0.1231,0.1347,0.1181,0.1218,0.125,0.1282,0.1269,0.1279,0.1296,0.1269,0.1318,0.1292,0.1292,0.1251,0.1301,0.1297,0.1355,0.0943,0.0928,0.1316,0.1382,0.0947,0.0933,0.13,0.1405,0.0942,0.0927,0.0974,0.1327,0.1344,0.0939,0.0933,0.1354,0.1364,0.0955,0.0935,0.1352,0.1368,0.0948,0.1339,0.1286,0.1286,0.0934,0.1415,0.1298,0.1279,0.0949,0.138,0.1509,0.1329,0.0935,0.0969,0.129,0.1317,0.0952,0.0938,0.1349,0.1333,0.0959,0.0976,0.1339,0.1345,0.0978
1800s,0.0935,0.1342,0.1337,0.0927,0.0923,0.139,0.1363,0.0954,0.0936,0.1392,0.1385,0.0941,0.1365,0.1284,0.1267,0.1358,0.1394,0.1316,0.1306,0.1323,0.1414,0.1342,0.1271,0.1383,0.1308,0.1213,0.1354,0.129,0.1402,0.1247,0.1423,0.1258,0.1391,0.1273,0.1411,0.1236,0.1266,0.1305,0.1339,0.1333,0.1345,0.1368,0.1325,0.1397,0.1353,0.1354,0.1314,0.1373,0.1346,0.1445,0.0941,0.0926,0.1384,0.1479,0.0944,0.0933,0.1359,0.1507,0.094,0.0925,0.0973,0.1384,0.139,0.0934,0.093,0.1423,0.1413,0.0955,0.0931,0.1412,0.142,0.0944,0.1374,0.133,0.1319,0.0932,0.1465,0.1351,0.1308,0.0947,0.1426,0.155,0.137,0.0932,0.0966,0.134,0.1352,0.0951,0.0936,0.1403,0.1378,0.0952,0.0972,0.1398,0.1393,0.0961
2400s,0.0935,0.1387,0.1381,0.0929,0.0924,0.1448,0.1405,0.0952,0.0935,0.1437,0.144,0.0941,0.1407,0.1366,0.132,0.1453,0.1449,0.1392,0.1363,0.1407,0.147,0.144,0.1323,0.1487,0.1373,0.1267,0.1423,0.1363,0.1489,0.1298,0.1515,0.1337,0.1476,0.1333,0.1503,0.1314,0.1337,0.1385,0.143,0.1428,0.1443,0.1461,0.1403,0.1513,0.1448,0.1443,0.1405,0.1485,0.1412,0.1579,0.094,0.0926,0.1478,0.1619,0.0945,0.0931,0.1441,0.166,0.094,0.0924,0.0974,0.1462,0.1463,0.0932,0.0931,0.1513,0.149,0.0958,0.0931,0.1501,0.1495,0.0945,0.1421,0.1392,0.137,0.0932,0.1533,0.1425,0.1352,0.0946,0.1484,0.1609,0.1428,0.0932,0.0967,0.1406,0.1405,0.0949,0.0936,0.1471,0.1439,0.0946,0.0966,0.1466,0.1463,0.0943
3000s,0.0935,0.1443,0.1443,0.0928,0.0923,0.1525,0.1469,0.0952,0.0936,0.15,0.1513,0.0941,0.1464,0.1471,0.1382,0.1581,0.152,0.1497,0.1438,0.1521,0.1541,0.1574,0.1389,0.1634,0.146,0.1335,0.1516,0.1458,0.1608,0.1365,0.1636,0.144,0.1596,0.1412,0.1631,0.1417,0.1434,0.1495,0.155,0.1561,0.1582,0.1598,0.151,0.1671,0.1579,0.1571,0.1528,0.1641,0.1504,0.1753,0.094,0.0926,0.1605,0.1812,0.0945,0.093,0.1551,0.1873,0.0941,0.0924,0.0972,0.1556,0.1554,0.0932,0.0931,0.1633,0.1579,0.0953,0.093,0.1614,0.1596,0.0941,0.1478,0.1471,0.1429,0.0931,0.1614,0.1522,0.1409,0.0945,0.1556,0.1689,0.15,0.0931,0.0966,0.1498,0.1477,0.0949,0.0936,0.1568,0.1528,0.0949,0.0966,0.1564,0.1556,0.0971
3600s,0.0935,0.1518,0.1525,0.0928,0.0923,0.1626,0.154,0.0951,0.0935,0.1583,0.1608,0.0939,0.1533,0.1605,0.1461,0.1749,0.1611,0.163,0.1529,0.1678,0.1633,0.1749,0.1473,0.1819,0.1572,0.142,0.165,0.1579,0.1762,0.1448,0.1795,0.1572,0.1751,0.1513,0.1796,0.1546,0.1559,0.1637,0.1703,0.1731,0.1759,0.1767,0.1647,0.1874,0.1754,0.1739,0.1693,0.1845,0.1618,0.1974,0.094,0.0924,0.1762,0.2054,0.0945,0.093,0.1695,0.2131,0.0939,0.0923,0.0974,0.1681,0.1669,0.093,0.0928,0.1779,0.1708,0.0956,0.0929,0.176,0.1727,0.0945,0.1551,0.1571,0.1502,0.0931,0.1708,0.1638,0.148,0.0945,0.1641,0.1783,0.1588,0.093,0.0966,0.1605,0.1569,0.0949,0.0936,0.169,0.164,0.0946,0.0966,0.1675,0.1673,0.0978
4200s,0.0936,0.1619,0.1634,0.0928,0.0923,0.175,0.1638,0.0957,0.0935,0.1689,0.1727,0.0939,0.1625,0.1778,0.1556,0.1965,0.1723,0.1809,0.1646,0.1884,0.1741,0.1972,0.1575,0.2044,0.1721,0.1519,0.1817,0.1738,0.1955,0.1559,0.2001,0.1747,0.195,0.1638,0.2012,0.1724,0.1727,0.1818,0.1896,0.1957,0.1976,0.1973,0.1818,0.2125,0.1968,0.1966,0.19,0.2097,0.1764,0.2238,0.094,0.0924,0.1957,0.2333,0.0945,0.0928,0.1871,0.2437,0.094,0.0923,0.0973,0.1835,0.1816,0.0929,0.0929,0.1962,0.185,0.0949,0.093,0.1936,0.1892,0.0944,0.163,0.1688,0.1591,0.093,0.1817,0.1776,0.1565,0.0945,0.1737,0.1903,0.1697,0.093,0.0966,0.1738,0.1685,0.0947,0.0935,0.1842,0.1786,0.094,0.0965,0.1828,0.1825,0.0973
4800s,0.0935,0.1737,0.177,0.0928,0.0923,0.1899,0.1759,0.0954,0.0935,0.1823,0.187,0.0939,0.1732,0.1993,0.1669,0.2217,0.186,0.2025,0.1785,0.2123,0.1875,0.2235,0.17,0.2317,0.1906,0.1628,0.202,0.1945,0.2192,0.1694,0.2237,0.1961,0.2202,0.1792,0.2262,0.1952,0.1947,0.2046,0.2143,0.2242,0.2242,0.2235,0.2047,0.244,0.2246,0.2242,0.2161,0.2397,0.195,0.2552,0.0939,0.0924,0.2195,0.2664,0.0944,0.0931,0.2087,0.277,0.0939,0.0923,0.0973,0.201,0.1991,0.0929,0.0934,0.2172,0.2031,0.0947,0.0928,0.2145,0.2098,0.0942,0.1723,0.1826,0.169,0.093,0.1939,0.1938,0.1665,0.0945,0.1843,0.2047,0.1819,0.0929,0.0966,0.1894,0.1835,0.0948,0.0935,0.2041,0.1968,0.0941,0.0965,0.2,0.2018,0.0965
5400s,0.0936,0.1883,0.1934,0.0928,0.0923,0.2079,0.1914,0.0952,0.0934,0.1997,0.2046,0.0938,0.1864,0.227,0.1814,0.2523,0.2031,0.2289,0.1955,0.2433,0.2047,0.2565,0.1871,0.265,0.2147,0.1786,0.2275,0.2199,0.2477,0.1869,0.252,0.2217,0.2496,0.1985,0.256,0.2227,0.2224,0.2327,0.2436,0.2578,0.2551,0.2537,0.2324,0.2788,0.2575,0.2573,0.2478,0.2749,0.2172,0.2915,0.0939,0.0924,0.2474,0.3057,0.0944,0.093,0.2354,0.3143,0.094,0.0923,0.0973,0.223,0.2205,0.0927,0.0929,0.2426,0.2252,0.095,0.0929,0.24,0.2352,0.0939,0.1827,0.1989,0.1799,0.0931,0.207,0.213,0.1779,0.0945,0.1949,0.2222,0.1946,0.0929,0.0966,0.2075,0.2008,0.0948,0.0936,0.2279,0.2185,0.0937,0.0967,0.2211,0.2232,0.0971
