well ,include,strain,isolate,description
A1,1,blank,,
A2,1,BB552,,
A3,1,bb575,,
A4,1,blank,,
A5,1,blank,,
A6,1,bb553,,
A7,1,bb575,,
A8,1,blank,,
A9,1,blank,,
A10,1,bb553,,
A11,1,bb575,,
A12,1,blank,,
B1,1,BB576,,
B2,1,BB577,,
B3,1,BB578,,
B4,1,BB579,,
B5,1,BB576,,
B6,1,B577,,
B7,1,BB578,,
B8,1,BB579,,
B9,1,BB576,,
B10,1,BB577,,
B11,1,BB578,,
B12,1,BB579,,
C1,1,BB580,,
C2,1,BB581,,
C3,1,BB582,,
C4,1,BB559,,
C5,1,BB580,,
C6,1,BB581,,
C7,1,BB582,,
C8,1,BB559,,
C9,1,BB580,,
C10,1,BB581,,
C11,1,BB582,,
C12,1,BB559,,
D1,1,BB560,,
D2,1,BB561,,
D3,1,BB320,,
D4,1,BB433,,
D5,1,BB560,,
D6,1,BB561,,
D7,1,BB320,,
D8,1,BB433,,
D9,1,BB560,,
D10,1,BB561,,
D11,1,BB320,,
D12,1,BB433,,
E1,1,JEB1204,,
E2,1,JEB1205,,
E3,1,JEB1206,,
E4,1,JEB1207,,
E5,1,JEB1204,,
E6,1,JEB1205,,
E7,1,JEB1206,,
E8,1,JEB1207,,
E9,1,JEB1204,,
E10,1,JEB1205,,
E11,1,JEB1206,,
E12,1,JEB1207,,
F1,1,JEB1208,,
F2,1,blank,,
F3,1,blank,,
F4,1,blank,,
F5,1,JEB1208,,
F6,1,blank,,
F7,1,blank,,
F8,1,blank,,
F9,1,JEB1208,,
F10,1,blank,,
F11,1,blank,,
F12,1,blank,,
G1,1,blank,,
G2,1,blank,,
G3,1,blank,,
G4,1,blank,,
G5,1,blank,,
G6,1,blank,,
G7,1,blank,,
G8,1,blank,,
G9,1,blank,,
G10,1,blank,,
G11,1,blank,,
G12,1,blank,,
H1,1,blank,,
H2,1,blank,,
H3,1,blank,,
H4,1,blank,,
H5,1,blank,,
H6,1,blank,,
H7,1,blank,,
H8,1,blank,,
H9,1,blank,,
H10,1,blank,,
H11,1,blank,,
H12,1,blank,,
,,blank,,
