well,include,strain,isolate
A1,1,JEB1203,
A2,1,JEB1203,
A3,1,JEB1203,
A4,1,MSU1,
A5,1,MSU1,
A6,1,MSU1,
A7,1,MSU2,
A8,1,MSU2,
A9,1,MSU2,
A10,1,MSU3,
A11,1,MSU3,
A12,1,MSU3,
B1,1,JEB1204,
B2,1,JEB1204,
B3,1,JEB1204,
B4,1,MSU4,
B5,1,MSU4,
B6,1,MSU4,
B7,1,MSU5,
B8,1,MSU5,
B9,1,MSU5,
B10,1,MSU6,
B11,1,MSU6,
B12,1,MSU6,
C1,1,JEB1205,
C2,1,JEB1205,
C3,1,JEB1205,
C4,1,MSU7,
C5,1,MSU7,
C6,1,MSU7,
C7,1,MSU8,
C8,1,MSU8,
C9,1,MSU8,
C10,0,blank,
C11,0,blank,
C12,0,blank,
D1,1,JEB1206,
D2,1,JEB1206,
D3,1,JEB1206,
D4,1,MSU9,
D5,1,MSU9,
D6,1,MSU9,
D7,1,MSU10,
D8,1,MSU10,
D9,1,MSU10,
D10,1,blank,
D11,1,blank,
D12,1,blank,
E1,1,JEB1207,
E2,1,JEB1207,
E3,1,JEB1207,
E4,1,MSU11,
E5,1,MSU11,
E6,1,MSU11,
E7,1,MSU12,
E8,1,MSU12,
E9,1,MSU12,
E10,1,blank,
E11,1,blank,
E12,1,blank,
F1,1,JEB1208,
F2,1,JEB1208,
F3,1,JEB1208,
F4,1,MSU13,
F5,1,MSU13,
F6,1,MSU13,
F7,1,MSU14,
F8,1,MSU14,
F9,1,MSU14,
F10,1,blank,
F11,1,blank,
F12,1,blank,
G1,1,MSU15,
G2,1,MSU15,
G3,1,MSU15,
G4,1,MSU16,
G5,1,MSU16,
G6,1,MSU16,
G7,1,MSU17,
G8,1,MSU17,
G9,1,MSU17,
G10,1,blank,
G11,1,blank,
G12,1,blank,
H1,1,MSU18,
H2,1,MSU18,
H3,1,MSU18,
H4,1,MSU19,
H5,1,MSU19,
H6,1,MSU19,
H7,1,MSU20,
H8,1,MSU20,
H9,1,MSU20,
H10,1,blank,
H11,1,blank,
H12,1,blank,
