well,include,strain,isolate,description
A1,0,blank,,
A2,1,JEB1204,,
A3,1,JEB1205,,
A4,1,JEB1206,,
A5,1,JEB1207,,
A6,1,JEB1208,,
A7,0,blank,,
A8,1,JEB1209,,
A9,1,JEB1210,,
A10,1,JEB1211,,
A11,1,JEB1212,,
A12,1,JEB1213,,
B1,0,blank,,
B2,1,JEB1204,,
B3,1,JEB1205,,
B4,1,JEB1206,,
B5,1,JEB1207,,
B6,1,JEB1208,,
B7,1,blank,,
B8,1,JEB1209,,
B9,1,JEB1210,,
B10,1,JEB1211,,
B11,1,JEB1212,,
B12,1,JEB1213,,
C1,1,blank,,
C2,1,JEB1204,,
C3,1,JEB1205,,
C4,1,JEB1206,,
C5,1,JEB1207,,
C6,1,JEB1208,,
C7,1,blank,,
C8,1,JEB1209,,
C9,1,JEB1210,,
C10,1,JEB1211,,
C11,1,JEB1212,,
C12,1,JEB1213,,
D1,1,blank,,
D2,1,JEB1204,,
D3,1,JEB1205,,
D4,1,JEB1206,,
D5,1,JEB1207,,
D6,1,JEB1208,,
D7,1,blank,,
D8,1,JEB1209,,
D9,1,JEB1210,,
D10,1,JEB1211,,
D11,1,JEB1212,,
D12,1,JEB1213,,
E1,1,blank,,
E2,1,JEB1209,,
E3,1,JEB1210,,
E4,1,JEB1211,,
E5,1,JEB1212,,
E6,1,JEB1213,,
E7,1,blank,,
E8,1,JEB1204,,
E9,1,JEB1205,,
E10,1,JEB1206,,
E11,1,JEB1207,,
E12,1,JEB1208,,
F1,0,blank,,
F2,1,JEB1209,,
F3,1,JEB1210,,
F4,1,JEB1211,,
F5,1,JEB1212,,
F6,1,JEB1213,,
F7,0,blank,,
F8,1,JEB1204,,
F9,1,JEB1205,,
F10,1,JEB1206,,
F11,1,JEB1207,,
F12,1,JEB1208,,
G1,1,blank,,
G2,1,JEB1209,,
G3,1,JEB1210,,
G4,1,JEB1211,,
G5,1,JEB1212,,
G6,1,JEB1213,,
G7,1,blank,,
G8,1,JEB1204,,
G9,1,JEB1205,,
G10,1,JEB1206,,
G11,1,JEB1207,,
G12,1,JEB1208,,
H1,1,blank,,
H2,1,JEB1209,,
H3,1,JEB1210,,
H4,1,JEB1211,,
H5,1,JEB1212,,
H6,1,JEB1213,,
H7,0,blank,,
H8,1,JEB1204,,
H9,1,JEB1205,,
H10,1,JEB1206,,
H11,1,JEB1207,,
H12,1,JEB1208,,
