0s,0.088,0.1138,0.1157,0.0905,0.0912,0.1214,0.1155,0.0875,0.0883,0.1171,0.1159,0.0898,0.1149,0.1165,0.1305,0.0885,0.1179,0.1181,0.1307,0.09,0.1147,0.1145,0.132,0.0911,0.1144,0.092,0.1219,0.1239,0.1176,0.091,0.115,0.1206,0.1187,0.0889,0.1146,0.1217,0.1235,0.0918,0.1253,0.091,0.116,0.0902,0.1251,0.0896,0.1168,0.0915,0.1292,0.091,0.0863,0.1216,0.0917,0.0899,0.089,0.1326,0.0896,0.089,0.0915,0.1268,0.0907,0.1012,0.1173,0.0887,0.0911,0.0882,0.1211,0.0939,0.0902,0.0913,0.1269,0.0907,0.0941,0.092,0.0863,0.0894,0.0893,0.1177,0.0895,0.0894,0.0884,0.1217,0.0893,0.09,0.091,0.1227,0.0872,0.1136,0.0921,0.0877,0.0895,0.1209,0.0896,0.0936,0.0923,0.1206,0.0902,0.0888
601s,0.0879,0.114,0.1157,0.0904,0.0907,0.1195,0.1154,0.0872,0.0883,0.1168,0.1159,0.0895,0.115,0.1165,0.1299,0.0884,0.1182,0.1178,0.1301,0.0898,0.1141,0.1142,0.1322,0.0908,0.1142,0.0916,0.1213,0.1235,0.1176,0.0909,0.1146,0.1203,0.1189,0.0887,0.1145,0.121,0.1249,0.0917,0.1254,0.0907,0.1174,0.0901,0.1248,0.0896,0.1183,0.0899,0.1293,0.0906,0.0861,0.1223,0.0913,0.0898,0.0889,0.1333,0.0895,0.089,0.0911,0.1267,0.0907,0.0999,0.1171,0.0886,0.0898,0.088,0.121,0.0923,0.0896,0.0909,0.1272,0.0905,0.0938,0.0918,0.0861,0.0893,0.0892,0.1175,0.0896,0.0895,0.0884,0.1214,0.0891,0.0898,0.0909,0.1219,0.087,0.1136,0.092,0.0876,0.0894,0.121,0.0895,0.0932,0.0921,0.1203,0.0901,0.0887
1201s,0.0878,0.1145,0.1159,0.0902,0.0902,0.1207,0.1155,0.0871,0.0881,0.1169,0.116,0.0893,0.1162,0.1165,0.1308,0.0881,0.1188,0.1179,0.1297,0.0896,0.1141,0.1141,0.1328,0.0905,0.1148,0.0914,0.1213,0.124,0.1179,0.091,0.1149,0.1208,0.1194,0.0883,0.1149,0.1214,0.1276,0.0917,0.1258,0.0904,0.121,0.09,0.1256,0.0895,0.1215,0.09,0.1303,0.0908,0.086,0.1229,0.0903,0.0895,0.0887,0.1337,0.0891,0.0888,0.0909,0.1271,0.0904,0.0994,0.1175,0.0883,0.09,0.0878,0.1215,0.0924,0.0893,0.0907,0.1278,0.0903,0.0931,0.0913,0.0859,0.0891,0.0889,0.1183,0.0897,0.0893,0.0881,0.1216,0.0889,0.0896,0.0906,0.1227,0.087,0.1142,0.0919,0.0874,0.0893,0.1214,0.0895,0.0932,0.092,0.1206,0.09,0.0887
1801s,0.0878,0.1161,0.117,0.0903,0.0899,0.1199,0.1164,0.0871,0.0883,0.118,0.1169,0.0892,0.1179,0.1175,0.1331,0.0881,0.1201,0.1189,0.1316,0.0895,0.1149,0.115,0.1344,0.0906,0.1157,0.0913,0.1227,0.1255,0.1189,0.091,0.1166,0.1224,0.1202,0.0883,0.1167,0.1239,0.1334,0.0915,0.1269,0.0903,0.127,0.0902,0.1269,0.0894,0.127,0.0911,0.1316,0.0903,0.0859,0.1251,0.0909,0.0895,0.0887,0.1354,0.0892,0.0887,0.0908,0.1288,0.0903,0.0992,0.1185,0.0885,0.0898,0.088,0.123,0.0923,0.0892,0.0905,0.129,0.0903,0.093,0.0913,0.0859,0.0891,0.0889,0.121,0.0894,0.0894,0.0881,0.1241,0.0889,0.0896,0.0906,0.1259,0.0869,0.1158,0.0918,0.0874,0.0892,0.123,0.0894,0.0931,0.0918,0.122,0.0898,0.0884
2401s,0.0877,0.1189,0.1194,0.0902,0.0897,0.1216,0.1181,0.087,0.0882,0.1199,0.119,0.0892,0.1194,0.12,0.1355,0.0881,0.1227,0.1212,0.1344,0.0895,0.1166,0.1166,0.1371,0.0906,0.1175,0.0912,0.1249,0.1277,0.121,0.091,0.1195,0.1247,0.1216,0.0882,0.1192,0.1283,0.1428,0.0913,0.1286,0.0903,0.1362,0.0898,0.1285,0.0893,0.135,0.0906,0.1331,0.0905,0.0859,0.1281,0.0901,0.0894,0.0886,0.1384,0.0891,0.0887,0.0907,0.1318,0.0903,0.099,0.1203,0.0882,0.0902,0.0879,0.1254,0.092,0.0892,0.0903,0.1309,0.0902,0.0929,0.0915,0.0859,0.0892,0.0889,0.1256,0.0894,0.0893,0.088,0.1283,0.0889,0.0895,0.0906,0.1321,0.0869,0.1183,0.0918,0.0874,0.0891,0.126,0.0893,0.0928,0.0917,0.1243,0.0897,0.0884
3001s,0.0877,0.1231,0.1231,0.0901,0.0895,0.1255,0.121,0.087,0.0881,0.1233,0.1225,0.0891,0.122,0.1237,0.1397,0.0881,0.1264,0.125,0.1394,0.0895,0.1196,0.1194,0.1416,0.0907,0.1197,0.0911,0.1284,0.1308,0.1243,0.091,0.1238,0.1281,0.1239,0.0881,0.123,0.1336,0.1552,0.0913,0.1311,0.0904,0.1493,0.0897,0.1308,0.0893,0.1469,0.0906,0.1353,0.0902,0.0858,0.1323,0.0893,0.0893,0.0884,0.1427,0.0891,0.0886,0.0905,0.1365,0.0901,0.0987,0.1227,0.088,0.0895,0.0877,0.1288,0.0919,0.0891,0.0903,0.1339,0.0902,0.0927,0.091,0.0857,0.089,0.0888,0.1324,0.0892,0.0893,0.088,0.1348,0.0888,0.0895,0.0906,0.1413,0.0869,0.1224,0.0917,0.0873,0.0891,0.131,0.0893,0.0928,0.0918,0.1287,0.0897,0.0884
3601s,0.0878,0.1293,0.1288,0.0902,0.0894,0.1316,0.1255,0.087,0.0879,0.1286,0.1281,0.0891,0.1262,0.1293,0.1454,0.088,0.1317,0.1311,0.1465,0.0897,0.1241,0.124,0.1483,0.0908,0.1228,0.0911,0.1338,0.1361,0.1282,0.0909,0.1302,0.1332,0.1271,0.0881,0.1289,0.1393,0.1709,0.0913,0.1342,0.0901,0.1663,0.0896,0.1342,0.0893,0.1626,0.0909,0.138,0.0906,0.0859,0.138,0.0893,0.0893,0.0884,0.1489,0.089,0.0885,0.0905,0.1432,0.0899,0.0988,0.1254,0.0881,0.0894,0.0875,0.1329,0.0922,0.089,0.0901,0.1383,0.0901,0.0924,0.0909,0.0858,0.0891,0.0887,0.1428,0.0893,0.0892,0.0879,0.1441,0.0888,0.0895,0.0905,0.1532,0.0869,0.1286,0.0918,0.0873,0.0891,0.1383,0.0894,0.0929,0.0917,0.135,0.0897,0.0884
4201s,0.0877,0.1382,0.1375,0.0901,0.0893,0.1404,0.1324,0.087,0.0879,0.1365,0.136,0.0891,0.1325,0.1374,0.1543,0.088,0.1387,0.1396,0.1562,0.0896,0.1312,0.1308,0.1564,0.0909,0.1272,0.0911,0.1417,0.1434,0.1338,0.0909,0.1395,0.1399,0.1318,0.088,0.1377,0.1462,0.1905,0.0914,0.1378,0.0901,0.187,0.0896,0.1385,0.0893,0.1817,0.0903,0.1417,0.0904,0.0858,0.1464,0.0892,0.0891,0.0883,0.1572,0.0889,0.0883,0.0905,0.1518,0.0899,0.0988,0.1293,0.0879,0.0894,0.0873,0.138,0.0918,0.0895,0.09,0.1443,0.09,0.0923,0.0909,0.0857,0.0891,0.0886,0.157,0.0893,0.0891,0.0878,0.1566,0.0886,0.0894,0.0904,0.1683,0.0869,0.1374,0.0917,0.0871,0.0891,0.1491,0.0893,0.0927,0.0916,0.1442,0.0896,0.0883
4801s,0.0877,0.1498,0.1494,0.0901,0.0893,0.1527,0.1424,0.087,0.0879,0.1473,0.1467,0.089,0.1418,0.1487,0.1648,0.088,0.1491,0.1513,0.1685,0.0894,0.1411,0.1416,0.1673,0.0909,0.1341,0.0911,0.1525,0.1532,0.1413,0.0909,0.1527,0.1487,0.1388,0.0879,0.1501,0.1554,0.2152,0.0913,0.1422,0.09,0.213,0.0895,0.1437,0.0892,0.206,0.09,0.1466,0.0908,0.0858,0.1577,0.0891,0.089,0.0882,0.1679,0.0888,0.0882,0.0904,0.1626,0.0901,0.0986,0.1341,0.0882,0.0893,0.0873,0.1448,0.0919,0.0894,0.0899,0.1525,0.0899,0.0922,0.0907,0.0858,0.0891,0.0887,0.1748,0.0893,0.089,0.0877,0.1733,0.0887,0.0896,0.0903,0.1882,0.0869,0.1491,0.0918,0.0871,0.089,0.1625,0.0892,0.0926,0.0916,0.1572,0.0897,0.0883
5401s,0.0877,0.1645,0.1646,0.0901,0.0892,0.1692,0.1559,0.0872,0.0879,0.1615,0.1605,0.089,0.1541,0.163,0.1783,0.0879,0.1632,0.1665,0.1823,0.0894,0.1548,0.1568,0.1806,0.0907,0.1433,0.091,0.1661,0.1656,0.1513,0.0907,0.1691,0.1604,0.1485,0.0879,0.1659,0.1675,0.2453,0.0912,0.1475,0.0899,0.2446,0.0896,0.1501,0.0891,0.2365,0.0902,0.1526,0.0913,0.0859,0.1708,0.089,0.0891,0.0881,0.1812,0.0887,0.0882,0.0904,0.1756,0.0899,0.0986,0.1401,0.0879,0.0892,0.0873,0.1525,0.0919,0.0892,0.09,0.1628,0.0899,0.092,0.0909,0.0857,0.0889,0.0885,0.1958,0.0891,0.089,0.0877,0.1944,0.0887,0.0895,0.0903,0.2129,0.0869,0.1641,0.0916,0.0872,0.089,0.1804,0.0892,0.0927,0.0916,0.1732,0.0897,0.0883
