well ,include,strain,isolate,description
A1,1,blank,,
A2,1,BB151,,
A3,1,BB152,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB151,,
A7,1,BB152,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB151,,
A11,1,BB152,,
A12,1,blank,,
B1,1,BB153,,
B2,1,BB154,,
B3,1,BB155,,
B4,1,BB156,,
B5,1,BB153,,
B6,1,BB154,,
B7,1,BB155,,
B8,1,BB156,,
B9,1,BB153,,
B10,1,BB154,,
B11,1,BB155,,
B12,1,BB156,,
C1,1,BB161,,
C2,1,BB164,,
C3,1,BB165,,
C4,1,BB169,,
C5,1,BB161,,
C6,1,BB164,,
C7,1,BB165,,
C8,1,BB169,,
C9,1,BB161,,
C10,1,BB164,,
C11,1,BB165,,
C12,1,BB169,,
D1,1,blank,,
D2,1,BB171,,
D3,1,BB173,,
D4,1,BB191,,
D5,1,blank,,
D6,1,BB171,,
D7,1,BB173,,
D8,1,BB191,,
D9,1,blank,,
D10,1,BB171,,
D11,1,BB173,,
D12,1,BB191,,
E1,1,BB192,,
E2,1,BB193,,
E3,1,BB200,,
E4,1,BB204,,
E5,1,BB192,,
E6,1,BB193,,
E7,1,BB200,,
E8,1,BB204,,
E9,1,BB192,,
E10,1,BB193,,
E11,1,BB200,,
E12,1,BB204,,
F1,1,blank,,
F2,1,BB215,,
F3,1,BB216,,
F4,1,BB217,,
F5,1,blank,,
F6,1,BB215,,
F7,1,BB216,,
F8,1,BB217,,
F9,1,blank,,
F10,1,BB215,,
F11,1,BB216,,
F12,1,BB217,,
G1,0,BB229,outlier,
G2,1,JEB1204,,
G3,1,JEB1205,,
G4,1,JEB1206,,
G5,1,BB229,,
G6,1,JEB1204,,
G7,1,JEB1205,,
G8,1,JEB1206,,
G9,1,BB229,,
G10,1,JEB1204,,
G11,1,JEB1205,,
G12,1,JEB1206,,
H1,1,blank,,
H2,1,JEB1207,,
H3,1,JEB1208,,
H4,1,blank,,
H5,1,blank,,
H6,1,JEB1207,,
H7,1,JEB1208,,
H8,1,blank,,
H9,1,blank,,
H10,1,JEB1207,,
H11,1,JEB1208,,
H12,1,blank,,
