well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB40,,
A3,1,BB47,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB40,,
A7,1,BB47,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB40,,
A11,1,BB47,,
A12,1,blank,,
B1,1,BB54,,
B2,1,BB55,,
B3,1,BB56,,
B4,1,BB57,,
B5,1,BB54,,
B6,1,BB55,,
B7,1,BB56,,
B8,1,BB57,,
B9,1,BB54,,
B10,1,BB55,,
B11,1,BB56,,
B12,1,BB57,,
C1,1,BB58,,
C2,1,BB59,,
C3,1,BB60,,
C4,1,BB61,,
C5,1,BB58,,
C6,1,BB59,,
C7,1,BB60,,
C8,1,BB61,,
C9,1,BB58,,
C10,1,BB59,,
C11,1,BB60,,
C12,1,BB61,,
D1,1,BB62,,
D2,1,BB63,,
D3,1,BB64,,
D4,1,BB65,,
D5,1,BB62,,
D6,1,BB63,,
D7,1,BB64,,
D8,1,BB65,,
D9,1,BB62,,
D10,1,BB63,,
D11,1,BB64,,
D12,1,BB65,,
E1,1,BB66,,
E2,1,BB376,,
E3,1,BB377,,
E4,1,BB378,,
E5,1,BB66,,
E6,1,BB376,,
E7,1,BB377,,
E8,1,BB378,,
E9,1,BB66,,
E10,1,BB376,,
E11,1,BB377,,
E12,1,BB378,,
F1,1,BB379,,
F2,1,BB380,,
F3,1,BB381,,
F4,1,BB382,,
F5,1,BB379,,
F6,1,BB380,,
F7,1,BB381,,
F8,1,BB382,,
F9,1,BB379,,
F10,1,BB380,,
F11,1,BB381,,
F12,1,BB382,,
G1,1,JEB1204,,
G2,1,JEB1205,,
G3,0,JEB1206,,Highest burden control clearly wrong
G4,1,BB383,,
G5,1,JEB1204,,
G6,1,JEB1205,,
G7,0,JEB1206,,Highest burden control clearly wrong
G8,1,BB383,,
G9,1,JEB1204,,
G10,1,JEB1205,,
G11,0,JEB1206,,Highest burden control clearly wrong
G12,1,BB383,,
H1,1,blank,,
H2,1,JEB1207,,
H3,1,JEB1208,,
H4,1,blank,,
H5,1,blank,,
H6,1,JEB1207,,
H7,1,JEB1208,,
H8,1,blank,,
H9,1,blank,,
H10,1,JEB1207,,
H11,1,JEB1208,,
H12,1,blank,,
