experiment,strain,replicates,normalized.growth.rate.mean,normalized.growth.rate.sd,normalized.growth.rate.sem,normalized.growth.rate.95CI.range,normalized.GFP.rate.mean,normalized.GFP.rate.sd,normalized.GFP.rate.sem,normalized.GFP.rate.95CI.range,p.value,translational.burden.fraction.p.value,category,burden.mean,burden.sd,burden.sem,burden.95CI.range,burden.cv,translational.burden.fraction.mean,translational.burden.fraction.sd,translational.burden.fraction.sem,translational.burden.fraction.95CI.range
exp003,BB19,3,0.855974069,0.019630263,0.011333538,0.048764278,1.441724076,0.195577246,0.112916576,0.485840812,0.039534561,0.152282236,other burden,0.144025931,0.019630263,0.011333538,0.048764278,0.13629673,-3.06697602,1.357930789,0.078690954,0.338579848
exp003,BB21,3,1.139212782,0.081359785,0.046973094,0.202108911,1.122932398,0.048587141,0.028051799,0.120697149,0.999177152,0.903212331,no burden,-0.139212782,0.081359785,0.046973094,0.202108911,-0.584427549,0.883053953,-0.349013505,-0.337419403,-1.451798514
exp003,BB22,3,1.04258195,0.074191065,0.042834231,0.184300821,1.089069714,0.033805557,0.019517648,0.08397766,0.998808188,0.481817279,no burden,-0.04258195,0.074191065,0.042834231,0.184300821,-1.742312528,2.091724642,-0.793894072,-1.005924607,-4.328144256
exp003,BB23,6,0.967012426,0.056828648,0.023200198,0.059638008,1.206069225,0.060203772,0.024578087,0.063179984,0.311683719,0.006472387,no burden,0.032987574,0.056828648,0.023200198,0.059638008,1.722728894,-6.246874126,1.825043914,0.703301126,1.807893099
exp003,BB24,5,1.034093488,0.093986573,0.042032073,0.116699744,1.185698129,0.066092276,0.029557364,0.0820644,0.998808188,0.115458733,no burden,-0.034093488,0.093986573,0.042032073,0.116699744,-2.756730949,5.446733127,-1.938560125,-1.23284756,-3.422933572
exp003,BB25,3,1.132984932,0.072589477,0.041909554,0.180322259,0.980765575,0.094305532,0.054447324,0.234267929,0.999177152,0.999986208,no burden,-0.132984932,0.072589477,0.041909554,0.180322259,-0.545847384,-0.14463612,-0.70914449,-0.315145134,-1.355960072
exp003,BB72,3,1.014562291,0.070258533,0.040563783,0.174531872,0.980134184,0.057519741,0.033209038,0.142886959,0.909217076,0.975274842,no burden,-0.014562291,0.070258533,0.040563783,0.174531872,-4.8246897,-1.364195831,-3.949910301,-2.785535897,-11.98519363
exp003,BB73,3,0.966277232,0.059919226,0.034594381,0.148847609,0.961460874,0.02967582,0.017133343,0.073718824,0.485107725,0.84620252,no burden,0.033722768,0.059919226,0.034594381,0.148847609,1.77681813,1.142822146,0.879993602,1.025846426,4.413860923
exp003,BB74,3,1.047369599,0.077804976,0.044920724,0.193278275,1.018168669,0.125516377,0.072466914,0.311799966,0.998808188,0.910677001,no burden,-0.047369599,0.077804976,0.044920724,0.193278275,-1.642508651,0.383551255,-2.649724306,-0.948302812,-4.080217682
exp003,BB75,3,1.030798903,0.069568099,0.040165161,0.172816738,0.954559085,0.060612011,0.034994361,0.150568582,0.996500924,0.999986208,no burden,-0.030798903,0.069568099,0.040165161,0.172816738,-2.258784989,-1.475406957,-1.967992554,-1.304110121,-5.611132974
exp003,BB80,3,1.029495979,0.074569226,0.043052563,0.185240227,1.042604109,0.049768712,0.028733979,0.123632334,0.978648476,0.731375404,no burden,-0.029495979,0.074569226,0.043052563,0.185240227,-2.528115016,1.444403986,-1.687304999,-1.459607885,-6.280185852
exp003,BB81,3,1.057975171,0.052197602,0.0301363,0.129666031,1.049527689,0.075070055,0.043341716,0.186484354,0.999177152,0.860862559,no burden,-0.057975171,0.052197602,0.0301363,0.129666031,-0.900344078,0.854291387,-1.294865603,-0.519813896,-2.236578678
exp003,BB82,3,0.860743985,0.06757087,0.03901206,0.167855348,0.966422979,0.051006772,0.029448773,0.126707845,0.148144498,0.26775899,no burden,0.139256015,0.06757087,0.03901206,0.167855348,0.48522766,0.241117204,0.366280562,0.28014632,1.205372328
exp003,BB83,3,0.910172968,0.112958478,0.065216608,0.280604416,0.946107984,0.096515459,0.055723226,0.239757692,0.390140325,0.651331268,no burden,0.089827032,0.112958478,0.065216608,0.280604416,1.25751097,0.599953212,1.074458955,0.726024297,3.123830424
exp003,JEB1204,3,0.816961904,0.027511116,0.01588355,0.0683414,0.837712431,0.038479224,0.02221599,0.095587692,NA,NA,control,0.183038096,0.027511116,0.01588355,0.0683414,0.150302676,0.886632742,0.210225221,0.08677729,0.373372546
exp003,JEB1205,3,0.911414377,0.059461079,0.03432987,0.147709508,0.819610159,0.072680279,0.041961979,0.180547822,NA,NA,control,0.088585623,0.059461079,0.03432987,0.147709508,0.671227186,2.036333145,0.820452306,0.387533196,1.667420766
exp003,JEB1206,3,0.580253742,0.046166637,0.02665432,0.114684284,0.597401251,0.08584378,0.049561929,0.213247771,NA,NA,control,0.419746258,0.046166637,0.02665432,0.114684284,0.109987013,0.959147916,0.204513508,0.063501031,0.273222887
