strain,isolate,well,growth.rate,GFP.rate,other.rate,run
BB19,J5,E12,1.6991071268135767,3829.69798657718,NA,3
BB19,J5,E4,1.261423422974533,2003.8483466362602,NA,3
BB19,J5,E8,1.336317509267328,2716.1654135338335,NA,3
BB21,N1,A10,1.6120259754585198,516.0804465314079,NA,3
BB21,N1,A2,1.4230942054642433,549.13279699091,NA,3
BB21,N1,A6,1.463640199248362,496.2819574608721,NA,3
BB22,N2,B1,1.3450824174197926,519.9126001456664,NA,3
BB22,N2,B5,1.5769767841642643,482.80270744547505,NA,3
BB22,N2,B9,1.5697279825274375,502.9523842219095,NA,3
BB23,N3,E10,1.4637903059648867,507.0631970260222,NA,3
BB23,N3,E2,1.3011052757540749,586.9847395193826,NA,3
BB23,N3,E6,1.380790151694422,558.7953667953669,NA,3
BB23,N3,H10,1.3900383512780814,589.5822773487583,NA,3
BB23,N3,H2,1.32376813129238,558.7191993412301,NA,3
BB23,N3,H6,1.3220289929081939,595.9716758457909,NA,3
BB24,N4,E1,0.01818720735962165,48.62062218743839,NA,3
BB24,N4,E5,1.6105850330607303,518.5832847586532,NA,3
BB24,N4,E9,1.6198586933918535,524.6908819824683,NA,3
BB24,N4,H11,1.5423162581289485,569.0002369106846,NA,3
BB24,N4,H3,1.5854254221950144,554.4304567293074,NA,3
BB24,N4,H7,1.5174751438655747,608.2510465599336,NA,3
BB25,N5,F10,1.4739827800112493,406.1605906783571,NA,3
BB25,N5,F2,1.3314320739104968,501.7372281559646,NA,3
BB25,N5,F6,1.3657571343440307,419.21491152722905,NA,3
BB72,J1,A11,1.3115784978256544,464.91062139411713,NA,3
BB72,J1,A3,1.3665526758912176,455.2044070745142,NA,3
BB72,J1,A7,1.4077750016638944,405.95676229008757,NA,3
BB73,J2,B11,1.5380869002248199,436.5712532328057,NA,3
BB73,J2,B3,1.3402741855745957,445.12494398326953,NA,3
BB73,J2,B7,1.3734054179475979,413.5899537108813,NA,3
BB74,J3,D1,1.691363563124193,646.3597698273705,NA,3
